"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1","g3",519,109,2.25140640358096,2.25140640358096,0,0,0,TRUE
"2","g4",2552,4242,-0.733116291765686,-0.733116291765686,0,0,0,TRUE
"3","g5",39531,61494,-0.63746120194749,-0.63746120194749,0,0,0,TRUE
"4","g8",619,1154,-0.898631909431218,-0.898631909431218,0,0,0,TRUE
"5","g9",24847,51586,-1.05390791079291,-1.05390791079291,0,0,0,TRUE
"6","g10",2421,3476,-0.521825002815463,-0.521825002815463,0,0,0,TRUE
"7","g11",3806,8622,-1.17974700090447,-1.17974700090447,0,0,0,TRUE
"8","g12",2493,3526,-0.500149591828681,-0.500149591828681,0,0,0,TRUE
"9","g13",47934,51561,-0.105230909221584,-0.105230909221584,0,0,0,TRUE
"10","g15",15422,13327,0.210637816769641,0.210637816769641,0,0,0,TRUE
"11","g16",5493,7469,-0.443320806363536,-0.443320806363536,0,0,0,TRUE
"12","g18",72,321,-2.15650448567999,-2.15650448567999,0,0,0,TRUE
"13","g19",984,452,1.12233554292405,1.12233554292405,0,0,0,TRUE
"14","g21",1278,1926,-0.591719866896463,-0.591719866896463,0,0,0,TRUE
"15","g26",2939,3899,-0.407778795746303,-0.407778795746303,0,0,0,TRUE
"16","g27",181980,248680,-0.45051058019212,-0.45051058019212,0,0,0,TRUE
"17","g28",63397,114052,-0.84720526823606,-0.84720526823606,0,0,0,TRUE
"18","g32",16562,18648,-0.171144008731474,-0.171144008731474,0,0,0,TRUE
"19","g33",956,437,1.12937733848015,1.12937733848015,0,0,0,TRUE
"20","g34",420,993,-1.24140438986225,-1.24140438986225,0,0,0,TRUE
"21","g35",23072,34830,-0.594187403233263,-0.594187403233263,0,0,0,TRUE
"22","g37",5411,11299,-1.06222794843041,-1.06222794843041,0,0,0,TRUE
"23","g38",492,954,-0.955330950666271,-0.955330950666271,0,0,0,TRUE
"24","g40",10451,22382,-1.0986979650819,-1.0986979650819,0,0,0,TRUE
"25","g41",12593,14655,-0.218770954267818,-0.218770954267818,0,0,0,TRUE
