"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1",26245.6373022415,2.37228559375283,0.364015328579165,6.51699367444881,7.17304496344563e-11,6.84680425177484e-09
"g2",1501.25521849847,3.5806531981285,0.681937254264041,5.25070770916132,1.51515943257876e-07,8.13514352008748e-06
"g5",7060.34086632549,2.06305486941435,0.226628284237124,9.10325415187699,8.76649734355266e-20,2.89654063510307e-17
"g7",342.164607230779,3.2296333986833,0.595891659264745,5.41983320033085,5.96546677656031e-08,3.46265787760163e-06
"g10",1906.40157556641,1.33572133582956,0.274229057268485,4.87082349745969,1.11134083722897e-06,4.80561678809814e-05
"g12",24313.685666165,1.19164247833008,0.219902570572886,5.41895656438046,5.99478784665936e-08,3.46407337184092e-06
"g15",220.399907836102,1.52983259313522,0.324311722117512,4.71716712287352,2.39151237306414e-06,9.75222418965332e-05
"g19",8556.98940809271,2.49085811366831,0.624748232392391,3.98697904935225,6.69199323133924e-05,0.00199613483284809
"g20",92892.702426087,1.94406675468466,0.246951088341559,7.87227449670442,3.48251016420177e-15,5.90468762840843e-13
"g21",5947.74053616009,0.580511833936769,0.181930788342565,3.19083888562996,0.00141860364191977,0.0262645496117502
"g22",8658.66604492735,1.75345687506851,0.228716855539627,7.66649607407143,1.76758572352855e-14,2.64850112016149e-12
"g23",7053.52867765332,1.11533006247746,0.358232360987327,3.11342632308116,0.0018492867587246,0.0328688402385175
"g24",47.0462851423735,2.83473552891012,0.703408570559915,4.02999856350011,5.57771937444642e-05,0.00171538166728202
"g26",4397.36929532783,0.973292979522216,0.263801133453358,3.68949506312224,0.000224699588415471,0.0056774096006309
"g27",15073.2488696441,1.44516364210577,0.292617052573122,4.93875401107949,7.86233162853911e-07,3.57913762098689e-05
"g28",89534.1119985784,2.26176150121038,0.396518694879098,5.70404757813503,1.1699539736728e-08,7.69185046160599e-07
"g32",131.376773456964,1.52460378802367,0.485871601718736,3.13787383874771,0.00170178107738169,0.0305419929848753
"g33",20756.0638629133,1.76011458099242,0.268803265594582,6.54796576633515,5.83260846031158e-11,5.65105207665978e-09
"g35",37259.7581541147,2.03542647978584,0.472437460920197,4.30835115365599,1.64476107351385e-05,0.000568214241107225
"g36",814.981545532363,1.10924877462231,0.311134279504624,3.56517699171052,0.000363610727335314,0.00845755926433728
"g37",16144.6079754912,0.955599773958392,0.252476125812014,3.78491142829838,0.000153763331451347,0.00415386643413428
"g38",6878.68776948345,1.95737623109098,0.22344074384852,8.76015805075359,1.94976799046375e-18,5.46189354893822e-16
"g39",48981.2796582413,1.98856784029475,0.197568537414743,10.0652050489207,7.87231163429672e-24,4.6110276236158e-21
"g40",1539.62406870684,2.44561109335679,0.223610352115548,10.9369314533929,7.67538950427241e-28,6.59367127680362e-25
"g41",7669.54696772109,0.816872966202156,0.18401484546441,4.43916882977871,9.03069567076284e-06,0.000332484412609857
