"","x"
"1","g2"
"2","g15"
"3","g18"
"4","g20"
"5","g22"
"6","g23"
"7","g24"
"8","g26"
"9","g27"
"10","g29"
"11","g32"
"12","g33"
"13","g40"
"14","g42"
"15","g44"
"16","g45"
"17","g46"
"18","g47"
"19","g48"
"20","g49"
"21","g51"
"22","g52"
"23","g54"
"24","g59"
"25","g61"
"26","g62"
"27","g63"
"28","g65"
"29","g66"
"30","g67"
"31","g68"
"32","g70"
"33","g73"
"34","g74"
"35","g76"
"36","g80"
"37","g81"
"38","g82"
"39","g83"
"40","g84"
"41","g86"
"42","g91"
"43","g92"
"44","g95"
"45","g96"
"46","g98"
"47","g100"
"48","g101"
"49","g103"
"50","g104"
"51","g105"
"52","g106"
"53","g107"
"54","g108"
"55","g109"
"56","g111"
"57","g112"
"58","g113"
"59","g118"
"60","g119"
"61","g120"
"62","g123"
"63","g124"
"64","g126"
"65","g132"
"66","g134"
"67","g135"
"68","g147"
"69","g148"
"70","g149"
"71","g151"
"72","g154"
"73","g164"
"74","g165"
"75","g166"
"76","g167"
"77","g171"
"78","g172"
"79","g175"
"80","g176"
"81","g178"
"82","g180"
"83","g183"
"84","g184"
"85","g185"
"86","g186"
"87","g187"
"88","g188"
"89","g190"
"90","g191"
"91","g195"
"92","g196"
"93","g197"
"94","g198"
"95","g199"
"96","g200"
"97","g201"
"98","g203"
"99","g204"
"100","g206"
"101","g207"
"102","g212"
"103","g214"
"104","g215"
"105","g216"
"106","g217"
"107","g218"
"108","g219"
"109","g225"
"110","g230"
"111","g231"
"112","g232"
"113","g236"
"114","g237"
"115","g238"
"116","g239"
"117","g241"
"118","g244"
"119","g247"
"120","g248"
"121","g251"
"122","g252"
"123","g255"
"124","g259"
"125","g260"
"126","g262"
"127","g264"
"128","g265"
"129","g268"
"130","g272"
"131","g273"
"132","g276"
"133","g279"
"134","g280"
"135","g282"
"136","g283"
"137","g289"
"138","g290"
"139","g291"
"140","g292"
"141","g294"
"142","g295"
"143","g296"
"144","g297"
"145","g298"
"146","g299"
"147","g301"
"148","g303"
"149","g304"
"150","g305"
"151","g306"
"152","g307"
"153","g308"
