"","x"
"1","g2"
"2","g5"
"3","g6"
"4","g7"
"5","g8"
"6","g10"
"7","g12"
"8","g13"
"9","g14"
"10","g15"
"11","g16"
"12","g18"
"13","g20"
"14","g21"
"15","g22"
"16","g23"
"17","g26"
"18","g28"
"19","g29"
"20","g31"
"21","g33"
"22","g34"
"23","g39"
"24","g41"
"25","g42"
"26","g43"
"27","g44"
"28","g46"
"29","g47"
"30","g48"
"31","g49"
"32","g50"
"33","g54"
"34","g55"
"35","g56"
"36","g57"
"37","g59"
"38","g60"
"39","g61"
"40","g62"
"41","g68"
"42","g69"
"43","g70"
"44","g71"
"45","g72"
"46","g74"
"47","g75"
"48","g78"
"49","g79"
"50","g82"
"51","g83"
"52","g84"
"53","g85"
"54","g86"
"55","g87"
"56","g88"
"57","g89"
"58","g90"
"59","g92"
"60","g93"
"61","g94"
"62","g95"
"63","g97"
"64","g98"
"65","g99"
"66","g101"
"67","g103"
"68","g105"
"69","g106"
"70","g109"
"71","g112"
"72","g115"
"73","g116"
"74","g117"
"75","g119"
"76","g120"
"77","g121"
"78","g125"
"79","g128"
"80","g129"
"81","g136"
"82","g137"
"83","g141"
"84","g142"
"85","g144"
"86","g145"
"87","g149"
"88","g152"
"89","g154"
"90","g155"
"91","g159"
"92","g161"
"93","g162"
"94","g166"
"95","g172"
"96","g174"
"97","g176"
"98","g179"
"99","g181"
"100","g183"
"101","g184"
"102","g185"
"103","g186"
"104","g187"
"105","g191"
"106","g192"
"107","g193"
"108","g196"
"109","g199"
"110","g200"
"111","g201"
"112","g203"
"113","g204"
"114","g207"
"115","g208"
"116","g209"
"117","g210"
"118","g211"
"119","g212"
"120","g214"
"121","g216"
"122","g220"
"123","g224"
"124","g225"
"125","g226"
"126","g231"
"127","g233"
"128","g235"
"129","g237"
"130","g238"
"131","g242"
"132","g243"
"133","g246"
"134","g248"
"135","g249"
"136","g250"
"137","g251"
"138","g256"
"139","g259"
"140","g261"
"141","g262"
"142","g263"
"143","g264"
"144","g265"
"145","g267"
"146","g270"
"147","g271"
"148","g272"
"149","g274"
"150","g276"
"151","g279"
"152","g281"
"153","g282"
"154","g284"
"155","g285"
"156","g286"
"157","g287"
"158","g288"
"159","g292"
"160","g294"
"161","g297"
"162","g299"
"163","g300"
"164","g302"
"165","g303"
"166","g305"
"167","g306"
"168","g309"
"169","g310"
"170","g312"
"171","g315"
"172","g316"
"173","g321"
"174","g325"
"175","g326"
"176","g329"
"177","g330"
"178","g331"
"179","g341"
"180","g344"
"181","g345"
"182","g347"
"183","g348"
"184","g349"
"185","g351"
"186","g355"
"187","g356"
"188","g357"
"189","g358"
"190","g359"
"191","g360"
"192","g361"
"193","g365"
"194","g367"
"195","g369"
"196","g370"
"197","g371"
"198","g372"
"199","g373"
"200","g374"
"201","g375"
"202","g376"
"203","g377"
"204","g379"
"205","g380"
"206","g382"
"207","g385"
"208","g389"
"209","g391"
"210","g394"
"211","g400"
"212","g402"
"213","g403"
"214","g404"
"215","g406"
"216","g409"
"217","g410"
"218","g411"
"219","g412"
"220","g413"
"221","g414"
"222","g415"
"223","g416"
"224","g418"
"225","g421"
"226","g423"
"227","g427"
"228","g428"
"229","g429"
"230","g432"
"231","g433"
"232","g435"
"233","g436"
"234","g437"
"235","g440"
"236","g441"
"237","g442"
"238","g443"
"239","g445"
"240","g448"
"241","g449"
"242","g450"
"243","g452"
"244","g453"
"245","g454"
"246","g456"
"247","g459"
"248","g463"
"249","g466"
"250","g469"
"251","g470"
"252","g471"
"253","g473"
"254","g479"
"255","g480"
"256","g481"
"257","g482"
"258","g483"
"259","g484"
"260","g486"
"261","g488"
"262","g489"
"263","g490"
"264","g492"
"265","g493"
"266","g495"
"267","g496"
"268","g497"
"269","g500"
"270","g503"
"271","g504"
"272","g506"
"273","g509"
"274","g510"
"275","g511"
"276","g512"
"277","g513"
"278","g514"
"279","g515"
"280","g521"
"281","g524"
"282","g525"
"283","g526"
"284","g528"
"285","g529"
"286","g530"
"287","g531"
"288","g532"
"289","g533"
"290","g535"
"291","g537"
"292","g538"
"293","g539"
"294","g540"
"295","g542"
"296","g545"
"297","g546"
"298","g548"
"299","g551"
"300","g559"
"301","g562"
"302","g563"
"303","g567"
"304","g569"
"305","g572"
"306","g573"
"307","g574"
"308","g576"
"309","g577"
"310","g578"
"311","g580"
"312","g581"
"313","g585"
"314","g586"
"315","g589"
"316","g591"
"317","g593"
"318","g597"
"319","g601"
"320","g602"
"321","g603"
"322","g607"
"323","g608"
"324","g612"
"325","g614"
"326","g616"
"327","g621"
"328","g624"
"329","g625"
"330","g626"
"331","g627"
"332","g628"
"333","g630"
"334","g632"
"335","g633"
"336","g635"
"337","g639"
"338","g640"
"339","g645"
"340","g646"
"341","g649"
"342","g650"
"343","g651"
"344","g652"
"345","g656"
"346","g657"
"347","g658"
"348","g662"
"349","g664"
"350","g665"
"351","g666"
"352","g671"
"353","g673"
"354","g674"
"355","g675"
"356","g677"
"357","g680"
"358","g681"
"359","g682"
"360","g685"
"361","g688"
"362","g690"
"363","g691"
"364","g693"
"365","g694"
"366","g699"
"367","g701"
"368","g705"
"369","g710"
"370","g711"
"371","g715"
"372","g716"
"373","g721"
"374","g723"
"375","g724"
"376","g726"
"377","g727"
"378","g728"
"379","g730"
"380","g732"
"381","g733"
"382","g734"
"383","g735"
"384","g739"
"385","g741"
"386","g742"
"387","g747"
"388","g749"
"389","g750"
"390","g751"
"391","g753"
"392","g754"
"393","g757"
"394","g758"
"395","g763"
"396","g766"
"397","g767"
"398","g768"
"399","g769"
"400","g771"
"401","g772"
"402","g778"
"403","g785"
"404","g787"
"405","g788"
"406","g791"
"407","g794"
"408","g795"
"409","g797"
"410","g798"
"411","g799"
"412","g801"
"413","g802"
"414","g804"
"415","g805"
"416","g808"
"417","g810"
"418","g811"
"419","g812"
"420","g813"
"421","g817"
"422","g819"
"423","g820"
"424","g822"
"425","g823"
"426","g825"
"427","g827"
"428","g829"
"429","g837"
"430","g839"
"431","g841"
"432","g844"
"433","g845"
"434","g847"
"435","g853"
"436","g856"
"437","g859"
"438","g860"
"439","g863"
"440","g864"
"441","g866"
"442","g867"
"443","g869"
"444","g870"
"445","g871"
"446","g872"
"447","g873"
"448","g875"
"449","g878"
"450","g882"
"451","g883"
"452","g884"
"453","g885"
"454","g887"
"455","g891"
"456","g893"
"457","g900"
"458","g904"
"459","g907"
"460","g910"
"461","g915"
"462","g917"
"463","g918"
"464","g921"
"465","g922"
"466","g927"
"467","g930"
"468","g931"
"469","g932"
"470","g934"
"471","g942"
"472","g945"
"473","g946"
"474","g947"
"475","g948"
"476","g949"
"477","g951"
"478","g952"
"479","g953"
"480","g956"
"481","g959"
"482","g964"
"483","g965"
"484","g967"
"485","g976"
"486","g977"
"487","g980"
"488","g984"
"489","g987"
"490","g989"
"491","g992"
"492","g993"
"493","g994"
"494","g997"
"495","g999"
"496","g1000"
"497","g1001"
"498","g1003"
"499","g1005"
"500","g1007"
"501","g1008"
"502","g1010"
"503","g1011"
"504","g1012"
"505","g1013"
"506","g1016"
"507","g1021"
"508","g1030"
"509","g1031"
"510","g1032"
"511","g1033"
"512","g1034"
"513","g1035"
"514","g1037"
"515","g1040"
"516","g1046"
"517","g1048"
"518","g1050"
"519","g1054"
"520","g1061"
"521","g1063"
"522","g1064"
"523","g1066"
"524","g1067"
"525","g1073"
"526","g1074"
"527","g1075"
"528","g1076"
