"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"612","g1097",752,1395,-0.891460555038913,-0.891460555038913,0,0,0,TRUE
"613","g1099",29472,32013,-0.119312914412827,-0.119312914412827,0,0,0,TRUE
"614","g1100",4164,6556,-0.654845785800042,-0.654845785800042,0,0,0,TRUE
"615","g1101",178,548,-1.62229865199413,-1.62229865199413,0,0,0,TRUE
"616","g1102",1505,1058,0.508423859533039,0.508423859533039,0,0,0,TRUE
"617","g1104",6161,1147,2.42529914429886,2.42529914429886,0,0,0,TRUE
"618","g1106",16495,9146,0.850815953645329,0.850815953645329,0,0,0,TRUE
"619","g1109",3377,4522,-0.421218812744053,-0.421218812744053,0,0,0,TRUE
"620","g1111",24435,53211,-1.12277541191288,-1.12277541191288,0,0,0,TRUE
"621","g1114",35628,45878,-0.364791000892552,-0.364791000892552,0,0,0,TRUE
"622","g1115",440,203,1.11602379633948,1.11602379633948,0,0,0,TRUE
"623","g1117",2551,4262,-0.74046769418023,-0.74046769418023,0,0,0,TRUE
"624","g1118",8543,10447,-0.290274024520091,-0.290274024520091,0,0,0,TRUE
"625","g1119",2493,1902,0.390365636630937,0.390365636630937,0,0,0,TRUE
"626","g1122",242,28,3.11150831521699,3.11150831521699,0,0,0,TRUE
"627","g1123",855,4368,-2.35297653114659,-2.35297653114659,0,0,0,TRUE
"628","g1126",545,1054,-0.951546731972925,-0.951546731972925,0,0,0,TRUE
"629","g1127",8438,7280,0.212962637133293,0.212962637133293,0,0,0,TRUE
"630","g1128",20575,29378,-0.513843752575557,-0.513843752575557,0,0,0,TRUE
"631","g1130",26453,50832,-0.942305649395927,-0.942305649395927,0,0,0,TRUE
"632","g1131",107810,146482,-0.44223239170578,-0.44223239170578,0,0,0,TRUE
"633","g1133",20962,27061,-0.368438780953474,-0.368438780953474,0,0,0,TRUE
"634","g1136",15147,20104,-0.408450493108393,-0.408450493108393,0,0,0,TRUE
"635","g1137",3056,6089,-0.994560769568828,-0.994560769568828,0,0,0,TRUE
"636","g1140",225,466,-1.05040495343724,-1.05040495343724,0,0,0,TRUE
"637","g1142",3128,6819,-1.12431967223165,-1.12431967223165,0,0,0,TRUE
"638","g1145",23999,30377,-0.340005105569256,-0.340005105569256,0,0,0,TRUE
"639","g1146",8045,10164,-0.337303954442547,-0.337303954442547,0,0,0,TRUE
"640","g1147",1306,601,1.11971800083525,1.11971800083525,0,0,0,TRUE
"641","g1148",3,779,-8.02051701734051,-8.02051701734051,0,0,0,TRUE
"642","g1150",156,13,3.58496250072116,3.58496250072116,0,0,0,TRUE
