"","X1_mean","X2_mean","M","D","prob","ranking"
"g550",1365.35928416381,122820.322024858,-6.49112484500622,121454.962740694,0.986994152946607,-121454.962914152
"g10097",2004.39959570851,42429.1111235903,-4.40381239794382,40424.7115278818,0.95888598245884,-40424.7117677544
"g12788",219.701457187269,17690.1245916251,-6.33125596016463,17470.4231344378,0.958055085397754,-17470.4242816567
"g346",2016.43803171877,35652.1281463489,-4.14410722130017,33635.6901146301,0.951881058624404,-33635.6903699188
"g382",21180.624957054,221980.177375043,-3.38961378765645,200799.552417989,0.94728804431451,-200799.552446598
"g48",23579.2833320985,185626.361610696,-2.97680983356683,162047.078278598,0.933962917371903,-162047.07830594
"g441",40027.799734119,285226.021165894,-2.83303138451859,245198.221431775,0.928300507770426,-245198.221448141
"g320",99966.1694262093,699501.591187643,-2.80681549374467,599535.421761434,0.927877365748577,-599535.421768004
"g694",379640.105207598,55843.1393764781,2.76518045278536,323796.96583112,0.925865517771965,323796.965842927
"g1173",54062.609716082,7104.83702097813,2.92775769474088,46957.7726951038,0.925550084628404,46957.7727863748
"g1142",62304.9255711076,8449.23851130109,2.88245299200119,53855.6870598065,0.925026927219572,53855.6871369435
"g773",165539.530374103,24985.8766197792,2.72799102922023,140553.653754324,0.923165102323434,140553.653780797
"g80",4593.66654091556,36644.6862726617,-2.99588597410807,32051.0197317461,0.922961224803816,-32051.0198717625
"g277",5268569.35333483,33965324.0890984,-2.68857945466055,28696754.7357635,0.922661178642868,-28696754.7357637
"g12311",340.085817289883,10861.1647537913,-4.99713617404253,10521.0789365014,0.921572549623019,-10521.0801232318
"g10963",60966.6527679669,8819.07386551633,2.78932127603695,52147.5789024505,0.920941683335898,52147.5789770495
"g394",234988.2645143,1460150.96019722,-2.63545691784638,1225162.69568293,0.920256962609632,-1225162.69568576
"g312",22243.0169349595,141593.964248832,-2.67033538210734,119350.947313873,0.920087705800892,-119350.947343745
"g268",376930.453902289,2288454.2105979,-2.60200315888943,1911523.75669561,0.917983535928604,-1911523.75669738
"g187",122327.56431527,736764.002457346,-2.59045304867099,614436.438142076,0.91726419449146,-614436.438147537
