"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g2",177.630773192124,2.71693108119467,0.690213043508014,3.93636588985025,8.27248153784047e-05,0.00231008590405479
"g5",37710.6584204471,0.876004886620179,0.290871729194346,3.0116535871208,0.00259828923437722,0.0439416561696148
"g6",11380.3740457702,1.25138957219258,0.204962258919865,6.10546340964089,1.0250283650308e-09,7.6274169515527e-08
"g7",8886.21249338883,1.27459489887727,0.219036909323461,5.81908730731324,5.9169823563105e-09,3.72387198046407e-07
"g8",28226.4096134273,2.1861325515716,0.229886657112317,9.50961042729638,1.91377880559534e-21,7.56540684086907e-19
"g10",15336.4221587447,1.75557324423433,0.386008263624237,4.5480198474282,5.41530295626179e-06,0.000204488305661826
"g12",10283.1729615636,1.27052665164401,0.177906091816192,7.1415578785053,9.22790036805061e-13,1.03303486421097e-10
"g13",21154.6414287232,1.36561340378018,0.195674199886477,6.97901616346183,2.9725428210074e-12,3.1335555571453e-10
"g14",2595.6471773445,1.95934149594572,0.255860341746676,7.65785538536348,1.89063603441229e-14,2.91665193113604e-12
"g15",1074.56118270357,0.887962082012267,0.267536921705083,3.31902630991286,0.000903319180622601,0.0184604000563423
"g16",830.614358823122,0.9686302377361,0.247280843281405,3.9171260696236,8.96108915012001e-05,0.00248047653717764
"g18",14046.6008769691,1.3468450785798,0.360351076811216,3.73759138032324,0.00018579157363931,0.00470994670648753
"g20",1916.94761538072,1.70784928255606,0.320902389262741,5.32202108709683,1.02620672969401e-07,5.57146572130012e-06
"g21",801.872384947995,1.98560526603445,0.656521109424322,3.02443476307342,0.00249098187270779,0.0425370683806181
"g22",13667.0978199335,1.25443739297893,0.355464997272136,3.52900398803136,0.000417126844463672,0.00956839662204076
"g23",6394.53687550792,2.1305128811427,0.284591112352198,7.48622423073446,7.08832529247359e-14,9.96303499442121e-12
"g26",1972.96102789574,0.935781418337118,0.312080810721488,2.99852277419339,0.00271291879656612,0.0455191500100364
"g28",11583.7670247629,0.933323238208236,0.2295329241284,4.06618458660048,4.77890893813005e-05,0.00142915361861336
"g29",23816.8490610348,1.43988175333434,0.211971678393481,6.7928025302583,1.09975869452384e-11,1.05393541558535e-09
"g31",3920.2430559298,1.57681785267479,0.283486256285553,5.56223738439889,2.66337655486706e-08,1.5670564380962e-06
"g33",3711.93525355264,1.77942409585471,0.197926715601524,8.99031790855935,2.4651633088037e-19,7.71889634744761e-17
"g34",176.46031018331,1.8160470755129,0.371380826207804,4.88998609340359,1.00843101757267e-06,4.63878268083427e-05
"g39",16992.3397906803,1.63524642418391,0.483670280036224,3.38091152522631,0.000722458012547874,0.0152349616374169
"g41",37.032897071147,1.37215618598535,0.44024102559411,3.11682943254461,0.00182807306633505,0.0330358918416263
"g42",3171.91616847841,1.34332747197062,0.374311082372381,3.58879962478433,0.000332204042912467,0.00785491802400507
"g43",564.447960330412,1.48235849249552,0.292832443939397,5.06213885508636,4.14578889527069e-07,2.02487372684071e-05
"g44",672.232452471777,1.54511650519769,0.352723160828663,4.38053600327151,1.1838772856029e-05,0.000410302675695251
"g46",2933.86948373504,1.81149205759791,0.328108831236663,5.52100975389867,3.37057066894319e-08,1.94692780649002e-06
"g47",4008.86154494029,0.917854710695361,0.29754353472952,3.08477450713131,0.00203706530938639,0.0359900505080137
"g48",872.087689524039,1.51557674727815,0.3564457015359,4.25191478182408,2.11950516513259e-05,0.000700045439658676
"g49",2306.18544769269,2.00088418411326,0.64581424878868,3.09823480647294,0.00194677116899907,0.0347343516048493
"g50",26542.141515661,2.25037528844781,0.250803181318057,8.97267441593571,2.894005449589e-19,8.71646879459543e-17
"g54",1270.22271517672,1.43215691191254,0.238521166307948,6.00431791476115,1.92137901635897e-09,1.35030247538561e-07
"g55",5194.14086434432,1.47134858130556,0.267873200988353,5.49270541389293,3.95822740127531e-08,2.2656822002775e-06
"g56",32889.9602990721,1.89231448362039,0.320004512227706,5.91339937817464,3.35118282610773e-09,2.24298744710385e-07
"g57",544.030933035007,2.00782633043399,0.334119758097912,6.00930140098333,1.86324451328528e-09,1.32415972432915e-07
"g59",65448.414690861,1.84789229581866,0.197307427381393,9.36554857738177,7.56562435336372e-21,2.6584763352792e-18
"g60",1737.50975131694,2.10053931426515,0.253047016418773,8.30098431506073,1.03252326293453e-16,2.21379987730878e-14
"g61",6556.4674240588,1.38330181831207,0.325976003987818,4.24356946949924,2.19992227546476e-05,0.000724713978766386
"g62",7224.56246138712,1.80213809894139,0.304699254017145,5.9144814934138,3.32922665852477e-09,2.24014453352863e-07
"g68",345.917471489234,1.75444381860435,0.582317929137199,3.01286244303667,0.00258796194721251,0.0438650632843124
"g69",75.240096739739,1.04981659590667,0.295471280059,3.55302415753248,0.000380829490666326,0.00883943680170463
"g70",2695.54254497968,1.81171373330647,0.504464825226707,3.591357895949,0.000328959527129536,0.00780738840185484
"g71",13957.5773463715,1.22785251677459,0.232510508657111,5.2808474071395,1.28587753381422e-07,6.75757881117354e-06
"g72",10642.7074596828,1.98037117312039,0.397268380140106,4.98497054414943,6.19712532082222e-07,2.96945588289398e-05
"g74",9869.0680318508,1.58011324075189,0.412740413470413,3.82834631449329,0.00012900714743968,0.00339987586481656
"g75",19.7974922637092,5.1002694383187,1.13347797019127,4.49966348923221,6.80611180031242e-06,0.000248836168421827
"g78",48051.9171706443,0.957174373891806,0.278455738736162,3.43743813015372,0.000587244861654982,0.0128523313147673
"g79",1089.88448346512,2.13125780313628,0.314208963522711,6.78293126727503,1.17761671833838e-11,1.12006402157748e-09
"g82",9691.56044601071,1.60371736559174,0.169440604017658,9.46477601923922,2.94190870918867e-21,1.09456309327167e-18
"g83",4937.74855306066,1.89304002478525,0.291507386908009,6.49396931194281,8.36037852266676e-11,7.14586407511719e-09
"g84",5275.30171992061,1.20386135620384,0.315481259311049,3.81595204365815,0.000135658852312375,0.00356034124844719
"g85",526.960442914317,1.05429996702673,0.261704895946633,4.02858327588079,5.61139840823851e-05,0.00162435217080588
"g86",239.878052756837,1.05451952265642,0.164190436341376,6.42253925474637,1.34019674061372e-10,1.11536110320813e-08
"g87",177.789983852126,1.91421443247796,0.584336447667656,3.27587717678476,0.00105334358760606,0.0209839313121522
"g88",37831.3185329081,1.53898084860041,0.220956738349816,6.96507768938874,3.28222572808857e-12,3.43141780663805e-10
"g89",51.8131465959588,1.55254971555942,0.35004506292227,4.43528528183861,9.19504399942367e-06,0.000325818785973976
"g90",1527.56986574071,2.42483207354927,0.386079607615073,6.28065307185783,3.37153739839842e-10,2.63271284504568e-08
"g92",11561.3201973919,1.25365353948807,0.393674092855451,3.18449591232916,0.00145006358832891,0.0276249119546328
"g93",17038.3554094646,1.13656928294078,0.237206207122421,4.7914820473235,1.65553836235285e-06,7.10165515373786e-05
"g94",22935.9190733663,1.65312508611335,0.34146408572491,4.8412853802878,1.29001952234101e-06,5.82812391343349e-05
"g95",418.545734911577,1.23432953463202,0.404307169162186,3.05294990734354,0.00226603761620868,0.0395384494414341
"g97",9761.16652373994,1.72747129210531,0.298193121555962,5.79312924151779,6.908690056012e-09,4.30516892652965e-07
"g98",3330.84653399126,1.38062566395463,0.347547399743047,3.97248163840492,7.11277204969006e-05,0.00201282158262172
"g99",12815.8388710016,2.3472319743266,0.400485574160286,5.86096510279584,4.60184689392009e-09,2.94006884889339e-07
"g101",1855.81351080293,2.15103606816165,0.525053624760037,4.0967931021231,4.18912991569817e-05,0.00128001191868555
"g103",10580.5037319538,1.9519799906475,0.360330553153568,5.41719255712293,6.05421285577459e-08,3.37382346368055e-06
