"","x"
"1","g9794"
"2","g101"
"3","g5166"
"4","g398"
"5","g588"
"6","g664"
"7","g1034"
"8","g9201"
"9","g591"
"10","g78"
"11","g1194"
"12","g653"
"13","g1868"
"14","g689"
"15","g418"
"16","g166"
"17","g437"
"18","g1250"
"19","g207"
"20","g484"
"21","g4143"
"22","g122"
"23","g632"
"24","g509"
"25","g1056"
"26","g112"
"27","g1225"
"28","g1177"
"29","g2485"
"30","g98"
"31","g205"
"32","g763"
"33","g429"
"34","g345"
"35","g951"
"36","g1005"
"37","g1890"
"38","g934"
"39","g264"
"40","g657"
"41","g86"
"42","g1293"
"43","g687"
"44","g491"
"45","g581"
"46","g1256"
"47","g956"
"48","g431"
"49","g756"
"50","g940"
"51","g589"
"52","g221"
"53","g339"
"54","g391"
"55","g901"
"56","g1205"
"57","g567"
"58","g250"
"59","g10576"
"60","g505"
"61","g1269"
"62","g563"
"63","g559"
"64","g260"
"65","g415"
"66","g863"
"67","g50"
"68","g346"
"69","g443"
"70","g249"
"71","g995"
"72","g11540"
"73","g659"
"74","g272"
"75","g300"
"76","g30"
"77","g1272"
"78","g1057"
"79","g460"
"80","g3"
"81","g2754"
"82","g556"
"83","g1203"
"84","g972"
"85","g483"
"86","g366"
"87","g5684"
"88","g77"
"89","g3336"
"90","g213"
"91","g1270"
"92","g275"
"93","g301"
"94","g26"
"95","g633"
"96","g1153"
"97","g4745"
"98","g1036"
"99","g419"
"100","g433"
"101","g593"
"102","g225"
"103","g73"
"104","g1518"
"105","g867"
"106","g896"
"107","g1119"
"108","g759"
"109","g950"
"110","g134"
"111","g537"
"112","g670"
"113","g865"
"114","g5307"
"115","g461"
"116","g10951"
"117","g1214"
"118","g135"
"119","g408"
"120","g384"
"121","g1045"
"122","g7718"
"123","g874"
"124","g1228"
"125","g501"
"126","g1142"
"127","g2749"
"128","g451"
"129","g548"
"130","g1267"
"131","g1199"
"132","g6515"
"133","g369"
"134","g206"
"135","g3956"
"136","g2537"
"137","g2330"
"138","g560"
"139","g521"
"140","g11677"
"141","g965"
"142","g11294"
"143","g936"
"144","g243"
"145","g877"
"146","g694"
"147","g552"
"148","g230"
"149","g697"
"150","g7177"
"151","g434"
"152","g8435"
"153","g253"
"154","g711"
"155","g203"
"156","g1208"
"157","g512"
"158","g669"
"159","g8528"
"160","g10442"
"161","g9121"
"162","g396"
"163","g422"
"164","g721"
"165","g71"
"166","g4855"
"167","g11312"
"168","g126"
"169","g1187"
"170","g518"
"171","g1254"
"172","g44"
"173","g1071"
"174","g80"
"175","g403"
"176","g9227"
"177","g395"
"178","g1398"
"179","g1156"
"180","g11522"
"181","g6270"
"182","g714"
"183","g1198"
"184","g29"
"185","g204"
"186","g335"
"187","g1290"
"188","g137"
"189","g5097"
"190","g504"
"191","g811"
"192","g1262"
"193","g5844"
"194","g868"
"195","g5536"
"196","g5272"
"197","g6653"
"198","g1143"
"199","g718"
"200","g795"
"201","g8669"
"202","g355"
"203","g463"
"204","g388"
"205","g929"
"206","g942"
"207","g470"
"208","g302"
"209","g292"
"210","g11281"
"211","g797"
"212","g317"
"213","g814"
"214","g1245"
"215","g2041"
"216","g725"
"217","g570"
"218","g754"
"219","g476"
"220","g746"
"221","g515"
"222","g500"
"223","g1058"
"224","g5568"
"225","g42"
"226","g216"
"227","g143"
"228","g468"
"229","g256"
"230","g541"
"231","g477"
"232","g4415"
"233","g690"
"234","g598"
"235","g9276"
"236","g276"
"237","g255"
"238","g420"
"239","g1906"
"240","g702"
"241","g5972"
"242","g1022"
"243","g4193"
"244","g1278"
"245","g1287"
"246","g116"
"247","g5581"
"248","g698"
"249","g330"
"250","g170"
"251","g1117"
"252","g4809"
"253","g10200"
"254","g1180"
"255","g1127"
"256","g1195"
