"","x"
"1","g1"
"2","g3"
"3","g4"
"4","g5"
"5","g6"
"6","g7"
"7","g9"
"8","g11"
"9","g15"
"10","g16"
"11","g17"
"12","g19"
"13","g20"
"14","g24"
"15","g25"
"16","g26"
"17","g29"
"18","g31"
"19","g32"
"20","g36"
"21","g37"
"22","g40"
"23","g41"
"24","g42"
"25","g45"
"26","g46"
"27","g47"
"28","g48"
"29","g50"
"30","g54"
"31","g58"
"32","g59"
"33","g63"
"34","g64"
"35","g65"
"36","g66"
"37","g68"
"38","g71"
"39","g72"
"40","g73"
"41","g74"
"42","g75"
"43","g78"
"44","g80"
"45","g82"
"46","g83"
"47","g86"
"48","g88"
"49","g93"
"50","g97"
"51","g99"
"52","g101"
"53","g103"
"54","g104"
"55","g105"
"56","g106"
"57","g107"
"58","g108"
"59","g112"
"60","g114"
"61","g117"
"62","g123"
"63","g124"
"64","g125"
"65","g126"
"66","g128"
"67","g132"
"68","g133"
"69","g134"
"70","g140"
"71","g142"
"72","g143"
"73","g144"
"74","g147"
"75","g148"
"76","g149"
"77","g150"
"78","g153"
"79","g158"
"80","g159"
"81","g161"
"82","g164"
"83","g166"
"84","g167"
"85","g173"
"86","g174"
"87","g175"
"88","g180"
"89","g181"
"90","g183"
"91","g184"
"92","g185"
"93","g187"
"94","g189"
"95","g192"
"96","g193"
"97","g194"
"98","g195"
"99","g196"
"100","g197"
"101","g202"
"102","g204"
"103","g207"
"104","g209"
"105","g210"
"106","g211"
"107","g213"
"108","g215"
"109","g216"
"110","g217"
"111","g224"
"112","g225"
"113","g226"
"114","g228"
"115","g229"
"116","g231"
"117","g233"
"118","g234"
"119","g235"
"120","g236"
"121","g237"
"122","g238"
"123","g239"
"124","g242"
"125","g243"
"126","g247"
"127","g249"
"128","g252"
"129","g253"
"130","g254"
"131","g255"
"132","g256"
"133","g257"
"134","g258"
"135","g263"
"136","g268"
"137","g269"
"138","g273"
"139","g275"
"140","g276"
"141","g277"
"142","g278"
"143","g280"
"144","g282"
"145","g283"
"146","g284"
"147","g285"
"148","g286"
"149","g287"
"150","g288"
"151","g290"
