"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g1	8332	4119	1.01636871317239	1.01636871317239	0	0	0	TRUE
g5	1979	3481	-0.814730201676172	-0.814730201676172	0	0	0	TRUE
g6	5718	7844	-0.456078915561053	-0.456078915561053	0	0	0	TRUE
g10	699	1714	-1.29400274873706	-1.29400274873706	0	0	0	TRUE
g12	12700	14361	-0.177327714894032	-0.177327714894032	0	0	0	TRUE
g14	144	2853	-4.30833903013941	-4.30833903013941	0	0	0	TRUE
g16	29	390	-3.74934931862204	-3.74934931862204	0	0	0	TRUE
g17	381	1039	-1.44733275141089	-1.44733275141089	0	0	0	TRUE
g18	2571	5402	-1.07116402967531	-1.07116402967531	0	0	0	TRUE
g20	31876	36140	-0.181125903920087	-0.181125903920087	0	0	0	TRUE
g21	3591	5946	-0.727533810242985	-0.727533810242985	0	0	0	TRUE
g22	3152	4438	-0.493642132740636	-0.493642132740636	0	0	0	TRUE
g26	2396	3348	-0.482671619761557	-0.482671619761557	0	0	0	TRUE
g27	7860	16072	-1.03194825158732	-1.03194825158732	0	0	0	TRUE
g28	19173	33628	-0.810586885000257	-0.810586885000257	0	0	0	TRUE
g33	6432	13405	-1.059431907691	-1.059431907691	0	0	0	TRUE
g35	11771	18244	-0.632185186218491	-0.632185186218491	0	0	0	TRUE
g36	218	1082	-2.31130045904989	-2.31130045904989	0	0	0	TRUE
g37	8847	11833	-0.419555655793399	-0.419555655793399	0	0	0	TRUE
g38	1942	3722	-0.938534854639959	-0.938534854639959	0	0	0	TRUE
g39	12670	27608	-1.12366985440734	-1.12366985440734	0	0	0	TRUE
g40	294	720	-1.29218075149331	-1.29218075149331	0	0	0	TRUE
g41	4150	9187	-1.14648249222446	-1.14648249222446	0	0	0	TRUE
g43	1476	3854	-1.38466385023533	-1.38466385023533	0	0	0	TRUE
g45	490	1463	-1.57807611513592	-1.57807611513592	0	0	0	TRUE
g46	17288	49298	-1.51175814092375	-1.51175814092375	0	0	0	TRUE
g47	4308	10261	-1.25208118264988	-1.25208118264988	0	0	0	TRUE
g49	6480	10155	-0.648124521411528	-0.648124521411528	0	0	0	TRUE
g51	2066	3479	-0.751832424754831	-0.751832424754831	0	0	0	TRUE
g52	1	59	-5.88264304936184	-5.88264304936184	0	0	0	TRUE
g55	13736	22649	-0.721485409267418	-0.721485409267418	0	0	0	TRUE
g56	3611	6737	-0.89970787903864	-0.89970787903864	0	0	0	TRUE
g61	4294	6788	-0.66066437368389	-0.66066437368389	0	0	0	TRUE
g62	489	830	-0.763276871282054	-0.763276871282054	0	0	0	TRUE
g63	140	855	-2.61049759282829	-2.61049759282829	0	0	0	TRUE
g64	648	1782	-1.4594316186373	-1.4594316186373	0	0	0	TRUE
g67	54451	110487	-1.02084618121533	-1.02084618121533	0	0	0	TRUE
g69	14	112	-3	-3	0	0	0	TRUE
g70	10049	15001	-0.578006734668213	-0.578006734668213	0	0	0	TRUE
g72	965	3368	-1.80329129091095	-1.80329129091095	0	0	0	TRUE
g74	3733	4926	-0.400081119195891	-0.400081119195891	0	0	0	TRUE
g75	1057	674	0.649154880200824	0.649154880200824	0	0	0	TRUE
g76	14520	8254	0.814876109876078	0.814876109876078	0	0	0	TRUE
g81	258	91	1.50343261522456	1.50343261522456	0	0	0	TRUE
g83	2138	8250	-1.94813226630005	-1.94813226630005	0	0	0	TRUE
g84	1252	3975	-1.66672029812646	-1.66672029812646	0	0	0	TRUE
g86	2008	4430	-1.14154742949161	-1.14154742949161	0	0	0	TRUE
g87	7442	15241	-1.03419526917817	-1.03419526917817	0	0	0	TRUE
g91	164	605	-1.88323932754387	-1.88323932754387	0	0	0	TRUE
g92	4085	7090	-0.795449549093831	-0.795449549093831	0	0	0	TRUE
g93	3881	5533	-0.511633490657376	-0.511633490657376	0	0	0	TRUE
g95	254	580	-1.19122440324277	-1.19122440324277	0	0	0	TRUE
g99	9275	11743	-0.34038183593108	-0.34038183593108	0	0	0	TRUE
g100	2669	6296	-1.23813623536552	-1.23813623536552	0	0	0	TRUE
g101	0	1435	NA	NA	0	0	0	TRUE
g103	237199	282019	-0.24969443452412	-0.24969443452412	0	0	0	TRUE
g104	1292	2613	-1.0161010546261	-1.0161010546261	0	0	0	TRUE
g105	10244	13019	-0.345839480129358	-0.345839480129358	0	0	0	TRUE
g107	785	1167	-0.572040001928359	-0.572040001928359	0	0	0	TRUE
g109	4632	11107	-1.26176203906329	-1.26176203906329	0	0	0	TRUE
g110	12874	15075	-0.2276976281651	-0.2276976281651	0	0	0	TRUE
g111	250	1781	-2.83268751643953	-2.83268751643953	0	0	0	TRUE
g113	214	587	-1.4557497067089	-1.4557497067089	0	0	0	TRUE
g115	732	163	2.16697168405297	2.16697168405297	0	0	0	TRUE
g116	6508	9958	-0.613641764393522	-0.613641764393522	0	0	0	TRUE
g118	7223	5422	0.413773057203443	0.413773057203443	0	0	0	TRUE
g120	67	349	-2.38099403575188	-2.38099403575188	0	0	0	TRUE
g121	39857	111494	-1.48406104520522	-1.48406104520522	0	0	0	TRUE
g122	85	249	-1.55061099593038	-1.55061099593038	0	0	0	TRUE
g123	8649	22604	-1.3859728516347	-1.3859728516347	0	0	0	TRUE
g124	926	429	1.11003454576069	1.11003454576069	0	0	0	TRUE
g128	10955	30988	-1.50012016045747	-1.50012016045747	0	0	0	TRUE
g131	2954	7070	-1.25904038893197	-1.25904038893197	0	0	0	TRUE
g134	7622	6029	0.338250878774401	0.338250878774401	0	0	0	TRUE
g138	1469	2563	-0.802999082735298	-0.802999082735298	0	0	0	TRUE
g140	419	766	-0.870394148225605	-0.870394148225605	0	0	0	TRUE
g141	8058	19900	-1.30427472016977	-1.30427472016977	0	0	0	TRUE
g142	3917	2695	0.539463855310879	0.539463855310879	0	0	0	TRUE
g145	820	1355	-0.724597036735789	-0.724597036735789	0	0	0	TRUE
g148	19249	30433	-0.660853059039741	-0.660853059039741	0	0	0	TRUE
g149	531	1455	-1.45423538699149	-1.45423538699149	0	0	0	TRUE
g150	1245	2665	-1.09798979069109	-1.09798979069109	0	0	0	TRUE
g151	4880	10630	-1.12318854396822	-1.12318854396822	0	0	0	TRUE
g152	312	2059	-2.72232589577001	-2.72232589577001	0	0	0	TRUE
g153	1853	3125	-0.753993308409546	-0.753993308409546	0	0	0	TRUE
g154	18738	21196	-0.177825057301607	-0.177825057301607	0	0	0	TRUE
g158	1541	2097	-0.444459999581806	-0.444459999581806	0	0	0	TRUE
g159	14967	27115	-0.857306095172991	-0.857306095172991	0	0	0	TRUE
g161	185	485	-1.39045947655818	-1.39045947655818	0	0	0	TRUE
g162	20638	47574	-1.20487016357786	-1.20487016357786	0	0	0	TRUE
g166	114	2488	-4.44788075596586	-4.44788075596586	0	0	0	TRUE
g169	628	1001	-0.672605509944367	-0.672605509944367	0	0	0	TRUE
g170	371	1169	-1.65578383791085	-1.65578383791085	0	0	0	TRUE
g171	346463	540179	-0.640736264600562	-0.640736264600562	0	0	0	TRUE
g172	561	1214	-1.11369574564689	-1.11369574564689	0	0	0	TRUE
g173	386	963	-1.31893495057538	-1.31893495057538	0	0	0	TRUE
g174	138531	274	8.98181724530925	8.98181724530925	0	0	0	TRUE
g175	1338	193	2.79340536337338	2.79340536337338	0	0	0	TRUE
g178	0	54	NA	NA	0	0	0	TRUE
g179	48106	90137	-0.905902589378398	-0.905902589378398	0	0	0	TRUE
g180	37024	24129	0.617692643682616	0.617692643682616	0	0	0	TRUE
g181	11	309	-4.81203140926708	-4.81203140926708	0	0	0	TRUE
g182	2506	3286	-0.390946065628214	-0.390946065628214	0	0	0	TRUE
g184	33463	65919	-0.97812756621377	-0.97812756621377	0	0	0	TRUE
g187	1478	2922	-0.983309908657347	-0.983309908657347	0	0	0	TRUE
g189	13666	15472	-0.179068668002204	-0.179068668002204	0	0	0	TRUE
g190	12679	11155	0.184750450197122	0.184750450197122	0	0	0	TRUE
g192	977	2467	-1.33632724833174	-1.33632724833174	0	0	0	TRUE
g193	2	1158	-9.17741953798924	-9.17741953798924	0	0	0	TRUE
g195	4553	5853	-0.362358819310984	-0.362358819310984	0	0	0	TRUE
g196	1533	2267	-0.564426694082009	-0.564426694082009	0	0	0	TRUE
g198	24758	44137	-0.834093797190443	-0.834093797190443	0	0	0	TRUE
g199	406	901	-1.15004737862836	-1.15004737862836	0	0	0	TRUE
g200	7138	11630	-0.704259290311557	-0.704259290311557	0	0	0	TRUE
g203	0	241	NA	NA	0	0	0	TRUE
g204	9046	12831	-0.50428171196608	-0.50428171196608	0	0	0	TRUE
g206	1853	160	3.5337190711399	3.5337190711399	0	0	0	TRUE
g207	3027	4677	-0.627694753591427	-0.627694753591427	0	0	0	TRUE
g208	49335	82003	-0.733065181396645	-0.733065181396645	0	0	0	TRUE
g209	26098	38632	-0.565857117408077	-0.565857117408077	0	0	0	TRUE
g212	5039	6568	-0.382316670808052	-0.382316670808052	0	0	0	TRUE
g215	55611	122262	-1.13653388735621	-1.13653388735621	0	0	0	TRUE
g218	2145	3592	-0.743809702354238	-0.743809702354238	0	0	0	TRUE
g220	994	2349	-1.24072895644991	-1.24072895644991	0	0	0	TRUE
g226	1563	2731	-0.805111535765622	-0.805111535765622	0	0	0	TRUE
g227	21979	34338	-0.643680264643734	-0.643680264643734	0	0	0	TRUE
g232	1972	973	1.0191478415968	1.0191478415968	0	0	0	TRUE
g236	656	189	1.79530958039701	1.79530958039701	0	0	0	TRUE
g237	117	546	-2.22239242133645	-2.22239242133645	0	0	0	TRUE
g239	76	2	5.24792751344359	5.24792751344359	0	0	0	TRUE
g240	5385	26220	-2.28364943567755	-2.28364943567755	0	0	0	TRUE
g244	22378	34935	-0.64259203688756	-0.64259203688756	0	0	0	TRUE
g246	6619	8088	-0.28916972643453	-0.28916972643453	0	0	0	TRUE
g248	98	3	5.02974734339405	5.02974734339405	0	0	0	TRUE
g250	25559	27820	-0.122291028167362	-0.122291028167362	0	0	0	TRUE
g252	3188	5892	-0.886105801045376	-0.886105801045376	0	0	0	TRUE
g253	12351	47102	-1.93116046498038	-1.93116046498038	0	0	0	TRUE
g254	46712	68085	-0.543543772753932	-0.543543772753932	0	0	0	TRUE
g256	8552	19312	-1.17516382303453	-1.17516382303453	0	0	0	TRUE
g257	17300	28482	-0.719278417739138	-0.719278417739138	0	0	0	TRUE
g259	2573	4566	-0.827479402490901	-0.827479402490901	0	0	0	TRUE
g261	1054	1595	-0.597681557015017	-0.597681557015017	0	0	0	TRUE
g263	4699	5976	-0.346826380388121	-0.346826380388121	0	0	0	TRUE
g264	1337	3649	-1.44850168549113	-1.44850168549113	0	0	0	TRUE
g267	3677	7743	-1.07436346561183	-1.07436346561183	0	0	0	TRUE
g270	3259	6152	-0.916626151223262	-0.916626151223262	0	0	0	TRUE
g272	5741	7483	-0.382314719506825	-0.382314719506825	0	0	0	TRUE
g274	2361	4626	-0.970367224407548	-0.970367224407548	0	0	0	TRUE
g275	4820	7756	-0.686279656989468	-0.686279656989468	0	0	0	TRUE
g276	4186	12924	-1.62640843900965	-1.62640843900965	0	0	0	TRUE
g277	164804	451044	-1.45251691838481	-1.45251691838481	0	0	0	TRUE
g278	2556	9406	-1.87969349591099	-1.87969349591099	0	0	0	TRUE
g279	8422	23121	-1.45696901617404	-1.45696901617404	0	0	0	TRUE
g280	665	2050	-1.62419766400426	-1.62419766400426	0	0	0	TRUE
g284	11	514	-5.54619293055658	-5.54619293055658	0	0	0	TRUE
g285	1180	2009	-0.767690704484087	-0.767690704484087	0	0	0	TRUE
g286	547	1056	-0.948997096565897	-0.948997096565897	0	0	0	TRUE
g289	24634	31608	-0.359638843785556	-0.359638843785556	0	0	0	TRUE
g290	8307	12616	-0.602855105702425	-0.602855105702425	0	0	0	TRUE
g291	1910	9072	-2.24784800201912	-2.24784800201912	0	0	0	TRUE
g292	2076	8555	-2.04296141101889	-2.04296141101889	0	0	0	TRUE
g295	22930	97533	-2.08865407811041	-2.08865407811041	0	0	0	TRUE
