"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g1	36586	23099	0.663461296416424	0.663461296416424	0	0	0	TRUE
g2	237	621	-1.38970620932222	-1.38970620932222	0	0	0	TRUE
g5	1384	4091	-1.56360959425132	-1.56360959425132	0	0	0	TRUE
g6	6728	9111	-0.437431703633472	-0.437431703633472	0	0	0	TRUE
g7	442	1549	-1.80921886939814	-1.80921886939814	0	0	0	TRUE
g8	70	396	-2.50007360313464	-2.50007360313464	0	0	0	TRUE
g10	3006	2045	0.555744166087253	0.555744166087253	0	0	0	TRUE
g12	1098	469	1.22721822648982	1.22721822648982	0	0	0	TRUE
g13	124	1321	-3.41321844085995	-3.41321844085995	0	0	0	TRUE
g15	100813	116799	-0.212346233622693	-0.212346233622693	0	0	0	TRUE
g16	7540	1758	2.10062945301262	2.10062945301262	0	0	0	TRUE
g17	3394	5702	-0.748481474395289	-0.748481474395289	0	0	0	TRUE
g18	3308	2424	0.448569535698324	0.448569535698324	0	0	0	TRUE
g19	23169	33859	-0.547343587741986	-0.547343587741986	0	0	0	TRUE
g22	55820	33145	0.751990871540078	0.751990871540078	0	0	0	TRUE
g23	1672	5488	-1.71470563409193	-1.71470563409193	0	0	0	TRUE
g24	76	0	NA	NA	0	0	0	TRUE
g25	27140	30727	-0.179086196958361	-0.179086196958361	0	0	0	TRUE
g27	476	1818	-1.93331872088616	-1.93331872088616	0	0	0	TRUE
g30	7076	5640	0.327238885404302	0.327238885404302	0	0	0	TRUE
g31	19	326	-4.10080064078749	-4.10080064078749	0	0	0	TRUE
g32	10664	17728	-0.733281100960216	-0.733281100960216	0	0	0	TRUE
g34	2054	4036	-0.974489992788163	-0.974489992788163	0	0	0	TRUE
g37	12917	15491	-0.262159238284072	-0.262159238284072	0	0	0	TRUE
g38	14234	6248	1.18787478248782	1.18787478248782	0	0	0	TRUE
g39	5234	13820	-1.40077178622759	-1.40077178622759	0	0	0	TRUE
g40	11203	24424	-1.12441437794839	-1.12441437794839	0	0	0	TRUE
g41	14976	3197	2.22786169080288	2.22786169080288	0	0	0	TRUE
g44	553	1485	-1.42511154545342	-1.42511154545342	0	0	0	TRUE
g46	94825	100440	-0.0829945620899011	-0.0829945620899011	0	0	0	TRUE
g50	19721	22849	-0.21239831742451	-0.21239831742451	0	0	0	TRUE
g51	2083	4600	-1.14297102179109	-1.14297102179109	0	0	0	TRUE
g52	2077	1205	0.785468069727322	0.785468069727322	0	0	0	TRUE
g53	506	953	-0.913338829215631	-0.913338829215631	0	0	0	TRUE
g56	24304	35289	-0.538024773456817	-0.538024773456817	0	0	0	TRUE
g59	5935	10494	-0.82224476011354	-0.82224476011354	0	0	0	TRUE
g62	6598	9120	-0.467005046487174	-0.467005046487174	0	0	0	TRUE
g63	23536	45383	-0.947282828439015	-0.947282828439015	0	0	0	TRUE
g66	798	1478	-0.889185617923806	-0.889185617923806	0	0	0	TRUE
g67	5688	8721	-0.616572107237978	-0.616572107237978	0	0	0	TRUE
g68	1533	956	0.68127517367803	0.68127517367803	0	0	0	TRUE
g72	20848	13072	0.673429100422451	0.673429100422451	0	0	0	TRUE
g73	291	797	-1.45356057108219	-1.45356057108219	0	0	0	TRUE
g74	722	38	4.24792751344359	4.24792751344359	0	0	0	TRUE
g75	10988	23544	-1.09943063186454	-1.09943063186454	0	0	0	TRUE
g82	13256	15711	-0.245129502949055	-0.245129502949055	0	0	0	TRUE
g84	1117	480	1.2185228748748	1.2185228748748	0	0	0	TRUE
g87	8389	10244	-0.288208406635572	-0.288208406635572	0	0	0	TRUE
g89	4125	5049	-0.291603558030564	-0.291603558030564	0	0	0	TRUE
g90	11667	1924	2.60025293638532	2.60025293638532	0	0	0	TRUE
g92	24908	19847	0.327688232990569	0.327688232990569	0	0	0	TRUE
