"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g4",226.594813333621,1.62282521694623,0.38350593262789,4.23155179328302,2.3208453604962e-05,0.000781209879569634
"g8",387.709459385758,2.2560514800803,0.53749874161956,4.19731490585912,2.70098245956894e-05,0.000892847842788788
"g9",1190.72504065507,1.13080579684365,0.26607347526018,4.24997567208792,2.1379373459491e-05,0.000733039581488719
"g10",3904.32245373385,1.51131071644476,0.21921594556039,6.89416416575602,5.4182424610243e-12,6.18159131040047e-10
"g11",1625.73242276792,0.89690450661714,0.165964536852933,5.40419371285274,6.51005601639144e-08,3.73011742948082e-06
"g12",1227.49261188579,1.28196480342356,0.339192889387662,3.77945659691707,0.000157170985788831,0.00427478554596963
"g14",15653.08832257,1.29763483438112,0.325151528564743,3.99086186095765,6.58336190605646e-05,0.0019645664712816
"g15",357386.200361871,2.66119190153453,0.164323256631997,16.1948585737579,5.48236219666734e-59,7.06786134394353e-55
"g16",10517.8205427305,2.08807769284991,0.410402999119948,5.08787142717646,3.62104716919092e-07,1.77214791119785e-05
"g21",4261.91600195887,1.74845190440236,0.296232125744663,5.9023034723433,3.58461005188258e-09,2.58172026753465e-07
"g23",6575.26342709378,1.16889274629372,0.34044010509516,3.43347545955842,0.000595896143413713,0.0134305823092475
"g25",33129.2094531799,0.93604984597663,0.159346756968443,5.87429492626577,4.24646788183685e-09,3.02461126699672e-07
"g26",481.216465072743,1.41798970433919,0.475123996971287,2.98446240008559,0.00284077112930646,0.0495578097415683
"g30",10553.1526704812,1.66900409562125,0.262912604194046,6.34813268362526,2.17944078216683e-10,1.89846963268208e-08
"g32",15722.7861980895,0.80966165908225,0.232894301124063,3.47651984258276,0.000507966638754099,0.0118421444969581
"g37",14890.5947633986,0.50420234359969,0.132867545275797,3.79477428105637,0.000147777836052093,0.0040621574890908
"g39",10868.1929824875,0.877193745156422,0.248453467150084,3.53061583409715,0.000414593434240108,0.00995333064101205
"g49",8060.98259625715,2.30956554821736,0.328598122888589,7.02854151422045,2.08703531456638e-12,2.63784894856762e-10
"g50",38081.3055749616,1.68487568531758,0.169491827232013,9.94074884219165,2.76738872482519e-23,1.2741848371588e-20
"g51",3413.05434166319,0.999863776263225,0.298742005363174,3.34691392008202,0.000817165810658925,0.0179470215179129
"g52",2765.79698031461,1.11820557411698,0.291367400314333,3.83778546574065,0.000124148870848744,0.00347185952924515
"g53",845.818506601207,1.21587504327046,0.278676293992278,4.36303722089885,1.28269109815375e-05,0.000464507124646016
"g56",60839.6407489488,1.90464683457844,0.234638909409557,8.11735291206083,4.76461729802024e-16,1.05905941734615e-13
"g59",14911.9068261219,1.72951740805325,0.210206669089184,8.22769998472062,1.90842342522796e-16,4.55618422185905e-14
"g60",169.102135148577,1.31641760237174,0.393834824704701,3.34256271866967,0.00083008594303268,0.0181819126788947
"g62",11434.2891725462,1.28773611919573,0.147607001447677,8.72408562308065,2.68340014019957e-18,7.20716554321936e-16
"g63",56892.8803176668,1.32080851777757,0.245708161068393,5.37551749211097,7.63630375844289e-08,4.35607203778078e-06
"g65",15169.774999246,1.48990379240874,0.307896575284411,4.83897487665293,1.30510541261566e-06,5.72293162566023e-05
"g66",2622.97531646195,2.02353087076974,0.419420556360209,4.8245867783168,1.40293825429554e-06,6.1103648562088e-05
"g67",13484.4394883666,1.45163630573623,0.211637080676245,6.85908301653854,6.93039583951848e-12,7.63646693701472e-10
"g69",419.870014186064,1.39140283115572,0.220617292889927,6.30686204571435,2.84749417797355e-10,2.43111887035994e-08
"g70",67.1425419010043,2.83318795223157,0.884878357960609,3.20178239951676,0.0013658012761792,0.0277675406530803
"g71",5254.3302332818,1.69261621331626,0.223170860689317,7.58439613526698,3.34039133223439e-14,5.52106731476484e-12
"g72",33710.0297338237,1.91326368352564,0.262803170366986,7.2802153826908,3.33287634089373e-13,4.77416019853356e-11
"g73",1027.82379806779,2.16906391398779,0.356116071726146,6.09089026359866,1.12284501858737e-09,8.79427048340867e-08
"g75",19341.4697429753,0.697908793211492,0.233401043197944,2.99016998231497,0.00278822238638266,0.0487730841319475
"g77",780.264260007516,0.920213865345484,0.249789510558364,3.68395719775621,0.000229640818720204,0.00589746899390612
"g79",613.297393514726,2.26964911624571,0.463234857804306,4.89956461179035,9.60492609679102e-07,4.3296051482458e-05
"g80",27.3648054296355,2.67480811040745,0.808315246293651,3.30911500515694,0.000935913845663765,0.020210722442709
"g87",16957.3808920399,1.72143500915083,0.198952222919582,8.6525045254038,5.03813586905667e-18,1.32554382905875e-15
"g90",11130.2815184122,1.58988634693127,0.484992452954706,3.27816719053102,0.00104483490880057,0.0220762638967282
"g91",1659.51479135447,2.34137547671831,0.286120590114783,8.18317715540508,2.76456271161528e-16,6.3644182996686e-14
