"","X1_mean","X2_mean","M","D","prob","ranking"
"g12058",1848.2374257242,28456.8432133917,-3.94455362581238,26608.6057876675,0.943987536544084,-26608.6060800448
"g403",8896.98096836466,84915.108704579,-3.25463349982576,76018.1277362144,0.940240806277889,-76018.1278058862
"g416",4375.53374369322,42341.2880663785,-3.27453424027145,37965.7543226853,0.934470687798123,-37965.7544638991
"g753",494384.804524687,63577.8341878952,2.95903862479626,430806.970336792,0.933101246345592,430806.970346954
"g257",182042.033005566,1269238.85909039,-2.80162008835557,1087196.82608482,0.926696414833051,-1087196.82608843
"g240",7253.58362170605,52473.064410053,-2.854811207758,45219.4807883469,0.92180335436221,-45219.4808784624
"g558",187341.685462121,1207705.59700865,-2.68852495605956,1020363.91154653,0.92162255731651,-1020363.91155007
"g187",23194.6314185773,151992.718835197,-2.71213938756524,128798.087416619,0.921149407601169,-128798.087445175
"g237",6583.87815772906,47654.1751221096,-2.85559307603742,41070.2969643806,0.920987844283736,-41070.2970636544
"g83",10128.8274712385,68830.7128379949,-2.76458527595685,58701.8853667563,0.920376211724881,-58701.8854318559
"g317",13670.9707562677,90174.4168267106,-2.7216024975763,76503.446070443,0.920010770887829,-76503.4461188534
"g104",11774.0955035507,76996.1423185659,-2.70916993033975,65222.0468150152,0.918733651330974,-65222.0468712815
"g434",7079.60985592432,48696.8211699568,-2.78208583578301,41617.2113140325,0.917887367287275,-41617.2114070229
"g251",18868.6708447036,117179.270939555,-2.63465267432957,98310.6000948511,0.916671795660871,-98310.6001301545
"g8497",7927.96579981695,47.1494615676019,7.39356563285998,7880.81633824935,0.916421757193414,7880.81980646878
"g356",73747.1051777451,439299.034476051,-2.57454500362552,365551.929298306,0.915163871364825,-365551.929307372
"g376",30014.2159686558,178801.474051066,-2.57464074275264,148787.258082411,0.914352208032005,-148787.258104687
"g8576",22799.9167456746,2715.38035482507,3.06980235467079,20084.5363908495,0.913632866594861,20084.5366254501
"g1017",62913.9645579386,10270.0099923613,2.61494269188977,52643.9545655773,0.912128789044468,52643.9546305224
"g220",5159.35103253779,35034.1931020722,-2.76350215565859,29874.8420695344,0.911728727496538,-29874.8421973501
"g2696",26495.4562542962,3564.07066304191,2.89414712509484,22931.3855912543,0.911063240498538,22931.385773888
"g80",22526.7966402538,128160.809170118,-2.50824108276395,105634.012529864,0.910493922141868,-105634.012559643
"g898",303307.359812393,54586.2175512191,2.47417186882996,248721.142261174,0.909505308509001,248721.14227348
"g224",6901.89471883545,41351.1493734589,-2.58286305804536,34449.2546546234,0.905308509001385,-34449.2547514496
"g833",92513.8236543293,17166.6903252951,2.43005703309709,75347.1333290342,0.904389136790275,75347.1333682207
"g440",3665.60853816454,25040.6504070846,-2.77214740610186,21375.04186892,0.903950607785813,-21375.0420486811
"g370",3717.05239363763,25017.0756763008,-2.75068222931923,21300.0232826631,0.902935066933374,-21300.0234602745
"g101",72157.0223722132,369134.206191427,-2.35493372180232,296977.183819214,0.902069549161409,-296977.183828551
"g102",60145.3497906595,307169.097904879,-2.35250798094608,247023.748114219,0.90196184028312,-247023.748125421
"g139",8673.43403276341,48171.7476206813,-2.47351205307888,39498.3135879179,0.901554085243884,-39498.3136653675
"g52",18495.4690568169,93334.502330412,-2.3352386023471,74839.033273595,0.898815202338821,-74839.0333100288
"g1019",41004.4941833619,7437.8275622892,2.46282883478802,33566.6666210727,0.89843822126481,33566.6667114231
"g952",69279.9078370271,13478.3165363022,2.36179669803981,55801.5913007249,0.898322818895215,55801.5913507063
