"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g4",25970.3704221443,0.702115282189273,0.126570430106556,5.54722996199175,2.9023091196758e-08,1.81633830926507e-06
"g5",1518.7301603636,1.75905542396272,0.218641727857281,8.0453783511579,8.59793720739617e-16,1.49790008753718e-13
"g6",29648.632569403,1.40638723210021,0.280533055794032,5.01326743160273,5.35134382709419e-07,2.70547155368229e-05
"g7",898.964052490252,2.37520935138825,0.383005765766486,6.20149763707836,5.59283602303843e-10,4.62197705185971e-08
"g11",57611.8598533546,1.20930266243588,0.268221172159847,4.5086025562337,6.52560232670439e-06,0.000262900203737103
"g12",10536.1593410097,0.955183114842663,0.286024298317517,3.3395173782834,0.000839240998445193,0.0181231071222034
"g13",419.658049120274,3.02309709121748,0.954111168410535,3.16849565470834,0.00153230039566604,0.0300079198233307
"g17",38252.6766408405,1.85260929533492,0.137958042581498,13.4287879174605,4.10068394321267e-41,7.55228819941396e-38
"g18",10471.622805889,1.3791476497785,0.217316742073212,6.3462558688363,2.20618193897314e-10,1.92176334846228e-08
"g19",188.242174703914,1.85040960952257,0.392776307795557,4.71110291735246,2.46379767172378e-06,0.000110289165221746
"g21",1855.83648050562,1.18198756802318,0.249600585866488,4.7355160001725,2.18498465399565e-06,9.98894402812477e-05
"g23",179247.504234167,1.31665210754759,0.300760751204051,4.3777391241263,1.19916762688842e-05,0.000448106349154943
"g25",1257.18272080098,1.4483590870701,0.48228633612728,3.00311034872002,0.00267235514487851,0.0467053062118384
"g29",79230.8848056115,2.01518297343894,0.189344448500527,10.6429472287028,1.88084161226968e-26,1.34710055918782e-23
"g30",8144.57937945432,1.26174931598536,0.317062940091293,3.97949162908178,6.90627916654832e-05,0.00206579468712624
"g32",4490.12554704228,1.90973572736087,0.542349905627794,3.52122441166513,0.000429558916209512,0.0101799146098769
"g34",881.409914797001,0.901114115388279,0.226591405166623,3.97682389906029,6.9841846890304e-05,0.00208426178266157
"g35",66439.8639132127,1.63195973473322,0.211547475824949,7.71439001278194,1.21562213608056e-14,1.80135638831616e-12
"g38",267.722177493991,2.11555117517952,0.265056703737161,7.9815041285557,1.44560743172479e-15,2.42035987140207e-13
"g40",4783.81987434605,1.37707230744034,0.403070069951781,3.41645884946278,0.000634412512125933,0.0143314473135364
"g43",441.908799993754,1.70120263821822,0.410291443470512,4.14632736141983,3.3785069899773e-05,0.00110267625607057
"g46",1537.52419227737,1.62004810537656,0.523812458605689,3.09280178193715,0.00198276522128005,0.0371642707035787
"g47",57575.807085297,0.928952702848384,0.296734723994857,3.1305830687496,0.00174459651084281,0.0335191329624225
"g48",2948.53401377916,1.34824709829612,0.370526615091799,3.63873212714311,0.000273983604082299,0.00692587573299805
"g49",7021.62533408803,0.799310953628332,0.25972002354619,3.07758694425876,0.0020868395219846,0.0386545044790595
"g51",27226.358335578,1.55843953778579,0.353857504379931,4.40414437590255,1.06202200355384e-05,0.00040269375499459
"g52",10290.4963891184,2.23086069704364,0.348908015681013,6.39383618828406,1.61774740866498e-10,1.46873236566964e-08
"g55",137.576228620353,1.61077027656864,0.530161178411319,3.03826523359458,0.00237944425047223,0.0427239488538829
"g56",132.049539254048,3.69773255815794,1.00481334064013,3.68001937136128,0.000233216236641271,0.00600358612585259
"g58",14649.4223170543,2.22528589524381,0.423875801219943,5.24985358644983,1.52220149623502e-07,8.60711477607978e-06
"g62",5466.59053692372,1.16668366951009,0.248991757123925,4.68563169715464,2.79097762749391e-06,0.000122699539519528
"g66",11693.8094128967,1.99659142728446,0.417782411293902,4.77902222140199,1.76149727496067e-06,8.22797930028729e-05
"g68",97718.0804122822,1.16347366710956,0.380652838516977,3.05652171580397,0.0022392125983322,0.0408315824861368
"g70",24124.0554580702,1.60115380964794,0.196587319712022,8.14474612092702,3.80078520204674e-16,7.42420042799796e-14
"g74",54.7462542862786,1.83737545564304,0.301915741068549,6.08572262294157,1.15967061558455e-09,9.06089307643391e-08
"g77",1036.32557345455,1.14533271110507,0.374059626312127,3.06189877372482,0.00219937816469592,0.0402761126409941
"g78",1070.38666957118,0.912462669664004,0.288093132570802,3.16724894315125,0.00153888521165475,0.0300595578009894
"g79",9127.61129741277,1.28612745518587,0.341464233741969,3.76650708360204,0.000165547389095463,0.00443708303579773
"g82",3710.09477956033,0.820732740937168,0.267125979094356,3.07245571441505,0.00212305332992553,0.0391450237896495
