"","x"
"1","g4"
"2","g5"
"3","g6"
"4","g7"
"5","g11"
"6","g12"
"7","g13"
"8","g17"
"9","g18"
"10","g19"
"11","g21"
"12","g23"
"13","g25"
"14","g29"
"15","g30"
"16","g32"
"17","g34"
"18","g35"
"19","g38"
"20","g40"
"21","g43"
"22","g46"
"23","g47"
"24","g48"
"25","g49"
"26","g51"
"27","g52"
"28","g55"
"29","g56"
"30","g58"
"31","g62"
"32","g66"
"33","g68"
"34","g70"
"35","g74"
"36","g77"
"37","g78"
"38","g79"
"39","g82"
"40","g83"
"41","g84"
"42","g88"
"43","g90"
"44","g93"
"45","g95"
"46","g97"
"47","g99"
"48","g101"
"49","g102"
"50","g104"
"51","g105"
"52","g106"
"53","g108"
"54","g111"
"55","g114"
"56","g115"
"57","g117"
"58","g119"
"59","g121"
"60","g124"
"61","g125"
"62","g126"
"63","g134"
"64","g135"
"65","g136"
"66","g138"
"67","g139"
"68","g140"
"69","g142"
"70","g146"
"71","g150"
"72","g152"
"73","g154"
"74","g156"
"75","g157"
"76","g158"
"77","g159"
"78","g161"
"79","g163"
"80","g165"
"81","g167"
"82","g168"
"83","g170"
"84","g171"
"85","g172"
"86","g173"
"87","g174"
"88","g175"
"89","g177"
"90","g179"
"91","g182"
"92","g183"
"93","g187"
"94","g188"
"95","g189"
"96","g191"
"97","g193"
"98","g195"
"99","g198"
"100","g200"
"101","g201"
"102","g202"
"103","g204"
"104","g205"
"105","g211"
"106","g212"
"107","g213"
"108","g214"
"109","g216"
"110","g219"
"111","g220"
"112","g224"
"113","g225"
"114","g227"
"115","g228"
"116","g230"
"117","g232"
"118","g234"
"119","g236"
"120","g237"
"121","g239"
"122","g240"
"123","g247"
"124","g248"
"125","g249"
"126","g250"
"127","g252"
"128","g254"
"129","g257"
"130","g258"
"131","g259"
"132","g264"
"133","g265"
"134","g267"
"135","g268"
"136","g271"
"137","g272"
"138","g273"
"139","g274"
"140","g275"
"141","g276"
"142","g277"
"143","g278"
"144","g280"
"145","g281"
"146","g282"
"147","g283"
"148","g285"
"149","g293"
"150","g294"
"151","g295"
"152","g299"
"153","g300"
"154","g301"
"155","g302"
"156","g303"
"157","g304"
"158","g307"
"159","g313"
"160","g317"
"161","g318"
"162","g320"
"163","g321"
"164","g322"
"165","g323"
"166","g324"
"167","g325"
"168","g326"
"169","g327"
"170","g328"
"171","g334"
"172","g335"
"173","g337"
"174","g340"
"175","g344"
"176","g347"
"177","g349"
"178","g351"
"179","g353"
"180","g354"
"181","g356"
"182","g358"
"183","g362"
"184","g367"
"185","g368"
"186","g369"
"187","g370"
"188","g373"
"189","g375"
"190","g376"
"191","g378"
"192","g379"
"193","g381"
"194","g382"
"195","g387"
"196","g388"
"197","g390"
"198","g392"
"199","g393"
"200","g394"
"201","g397"
"202","g398"
"203","g400"
"204","g402"
"205","g403"
"206","g404"
"207","g405"
"208","g406"
"209","g410"
"210","g411"
"211","g413"
"212","g414"
"213","g415"
"214","g416"
"215","g419"
"216","g421"
"217","g424"
"218","g426"
"219","g427"
"220","g430"
"221","g433"
"222","g435"
"223","g436"
"224","g440"
"225","g444"
"226","g445"
"227","g446"
"228","g449"
"229","g450"
"230","g453"
"231","g462"
"232","g463"
"233","g464"
"234","g467"
"235","g468"
"236","g469"
"237","g471"
"238","g474"
"239","g475"
"240","g476"
"241","g479"
"242","g480"
"243","g483"
"244","g487"
"245","g491"
"246","g495"
"247","g497"
"248","g499"
"249","g501"
"250","g502"
"251","g504"
"252","g507"
