"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"71","g124",32316,20970,0.623921774238873,0.623921774238873,0,0,0,TRUE
"72","g125",16819,9349,0.847207967522463,0.847207967522463,0,0,0,TRUE
"73","g126",18542,13268,0.482845948864162,0.482845948864162,0,0,0,TRUE
"74","g127",977,1578,-0.691666738045074,-0.691666738045074,0,0,0,TRUE
"75","g128",8799,1033,3.09049931761305,3.09049931761305,0,0,0,TRUE
"76","g129",10415,2962,1.81401929363916,1.81401929363916,0,0,0,TRUE
"77","g130",684,238,1.52303475157795,1.52303475157795,0,0,0,TRUE
"78","g131",1700,1098,0.630656692019866,0.630656692019866,0,0,0,TRUE
"79","g132",2459,4493,-0.869607326927357,-0.869607326927357,0,0,0,TRUE
"80","g136",58,403,-2.7966550334004,-2.7966550334004,0,0,0,TRUE
"81","g138",17879,8308,1.10569292532747,1.10569292532747,0,0,0,TRUE
"82","g142",100048,83540,0.260153278860979,0.260153278860979,0,0,0,TRUE
"83","g143",896,1793,-1.00080485081077,-1.00080485081077,0,0,0,TRUE
"84","g144",1216,3268,-1.4262647547021,-1.4262647547021,0,0,0,TRUE
"85","g145",1187,757,0.648954729656174,0.648954729656174,0,0,0,TRUE
"86","g147",13247,1953,2.76190182042012,2.76190182042012,0,0,0,TRUE
"87","g148",6631,5597,0.244572707257586,0.244572707257586,0,0,0,TRUE
"88","g151",9344,5168,0.854434204186093,0.854434204186093,0,0,0,TRUE
"89","g152",16334,13047,0.324160018181075,0.324160018181075,0,0,0,TRUE
"90","g154",23252,29573,-0.346925789788866,-0.346925789788866,0,0,0,TRUE
"91","g155",2,84,-5.39231742277876,-5.39231742277876,0,0,0,TRUE
"92","g156",35553,32797,0.11640744613115,0.11640744613115,0,0,0,TRUE
"93","g157",471,1039,-1.14139668929143,-1.14139668929143,0,0,0,TRUE
"94","g158",63952,55686,0.199674812232303,0.199674812232303,0,0,0,TRUE
"95","g161",1051,3075,-1.54882374115179,-1.54882374115179,0,0,0,TRUE
"96","g162",968,507,0.933021300271253,0.933021300271253,0,0,0,TRUE
"97","g164",6526,2205,1.56542033164698,1.56542033164698,0,0,0,TRUE
"98","g165",3813,2190,0.799995661237579,0.799995661237579,0,0,0,TRUE
"99","g166",72588,20894,1.79664235450174,1.79664235450174,0,0,0,TRUE
"100","g167",15789,11865,0.412207700132619,0.412207700132619,0,0,0,TRUE
"101","g168",1081,418,1.37079167565377,1.37079167565377,0,0,0,TRUE
"102","g169",18843,7260,1.37598722183818,1.37598722183818,0,0,0,TRUE
"103","g170",6356,4096,0.63390340934852,0.63390340934852,0,0,0,TRUE
"104","g171",33692,30055,0.164801051155848,0.164801051155848,0,0,0,TRUE
"105","g172",1620,378,2.09953567355092,2.09953567355092,0,0,0,TRUE
"106","g173",33914,22686,0.580078698471041,0.580078698471041,0,0,0,TRUE
"107","g174",365,75,2.2829339632715,2.2829339632715,0,0,0,TRUE
"108","g177",3993,2634,0.600217726376533,0.600217726376533,0,0,0,TRUE
"109","g180",223,65,1.77853208689185,1.77853208689185,0,0,0,TRUE
"110","g181",1635,986,0.729631084007533,0.729631084007533,0,0,0,TRUE
"111","g183",5123,2563,0.999155413162987,0.999155413162987,0,0,0,TRUE
"112","g185",2935,6368,-1.11747983254624,-1.11747983254624,0,0,0,TRUE
"113","g187",824,5091,-2.6272328230806,-2.6272328230806,0,0,0,TRUE
"114","g189",14945,9550,0.646090258754985,0.646090258754985,0,0,0,TRUE
"115","g192",609,27,4.49541091574286,4.49541091574286,0,0,0,TRUE
"116","g193",8022,5268,0.606706620557995,0.606706620557995,0,0,0,TRUE
"117","g196",1906,1338,0.51047000326848,0.51047000326848,0,0,0,TRUE
"118","g198",2537,1590,0.67409675389222,0.67409675389222,0,0,0,TRUE
"119","g199",1645,9558,-2.53862118362386,-2.53862118362386,0,0,0,TRUE
"120","g200",1072,2334,-1.12249965524958,-1.12249965524958,0,0,0,TRUE
"121","g202",40827,21682,0.913025720592191,0.913025720592191,0,0,0,TRUE
"122","g203",4162,3243,0.359947941279529,0.359947941279529,0,0,0,TRUE
"123","g205",203,813,-2.00177562488985,-2.00177562488985,0,0,0,TRUE
"124","g207",898,536,0.744482444283374,0.744482444283374,0,0,0,TRUE
"125","g208",20249,12523,0.693270447478476,0.693270447478476,0,0,0,TRUE
"126","g210",2874,1254,1.1965227136553,1.1965227136553,0,0,0,TRUE
"127","g213",2255,1497,0.591053212084327,0.591053212084327,0,0,0,TRUE
"128","g216",54019,26984,1.00136270944754,1.00136270944754,0,0,0,TRUE
"129","g217",9744,2412,2.01428422600625,2.01428422600625,0,0,0,TRUE
"130","g224",1335,536,1.31653483611714,1.31653483611714,0,0,0,TRUE
"131","g226",543,1911,-1.81530367517309,-1.81530367517309,0,0,0,TRUE
