"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g1	21153	72948	-1.7860061381906	-1.7860061381906	0	0	0	TRUE
g3	7237	12631	-0.803505185519082	-0.803505185519082	0	0	0	TRUE
g4	8426	5317	0.664235449479413	0.664235449479413	0	0	0	TRUE
g5	29678	93456	-1.65489341785589	-1.65489341785589	0	0	0	TRUE
g7	6035	14763	-1.29056024620891	-1.29056024620891	0	0	0	TRUE
g13	1313	7299	-2.4748319047667	-2.4748319047667	0	0	0	TRUE
g14	395	117	1.75534412348106	1.75534412348106	0	0	0	TRUE
g16	19	164	-3.1096244911745	-3.1096244911745	0	0	0	TRUE
g18	69	0	NA	NA	0	0	0	TRUE
g20	181	1172	-2.69491096733904	-2.69491096733904	0	0	0	TRUE
g21	9850	14516	-0.559448332248234	-0.559448332248234	0	0	0	TRUE
g23	374821	367406	0.028826597893719	0.028826597893719	0	0	0	TRUE
g24	17380	30030	-0.78897639274275	-0.78897639274275	0	0	0	TRUE
g27	5488	1894	1.53484415070443	1.53484415070443	0	0	0	TRUE
g28	4287	7790	-0.861654911132058	-0.861654911132058	0	0	0	TRUE
g30	7568	18019	-1.2515349543719	-1.2515349543719	0	0	0	TRUE
g31	2616	1393	0.90916728289683	0.90916728289683	0	0	0	TRUE
g32	46250	49892	-0.109355137596889	-0.109355137596889	0	0	0	TRUE
g33	3424	5030	-0.554875698291744	-0.554875698291744	0	0	0	TRUE
g34	162864	319926	-0.974070502307978	-0.974070502307978	0	0	0	TRUE
g35	38	335	-3.14008977190155	-3.14008977190155	0	0	0	TRUE
g38	13481	22575	-0.743798470301265	-0.743798470301265	0	0	0	TRUE
g39	4434	12011	-1.43767559520795	-1.43767559520795	0	0	0	TRUE
g40	28482	22654	0.330284647242989	0.330284647242989	0	0	0	TRUE
g42	1434	3070	-1.09819363155564	-1.09819363155564	0	0	0	TRUE
g45	271	643	-1.24652588597408	-1.24652588597408	0	0	0	TRUE
g49	4245	5847	-0.461932037538647	-0.461932037538647	0	0	0	TRUE
g51	1564	2496	-0.674377421554896	-0.674377421554896	0	0	0	TRUE
g53	4012	4994	-0.315874215316031	-0.315874215316031	0	0	0	TRUE
g54	16085	23252	-0.531638877691785	-0.531638877691785	0	0	0	TRUE
g56	6279	10143	-0.691877704637669	-0.691877704637669	0	0	0	TRUE
g57	39	597	-3.93618490240256	-3.93618490240256	0	0	0	TRUE
g60	925	2749	-1.57138163610928	-1.57138163610928	0	0	0	TRUE
g61	1884	3049	-0.694537185396964	-0.694537185396964	0	0	0	TRUE
g62	1702	2308	-0.439412186959519	-0.439412186959519	0	0	0	TRUE
g63	392	3075	-2.97166085099876	-2.97166085099876	0	0	0	TRUE
g64	418	730	-0.804393521686496	-0.804393521686496	0	0	0	TRUE
g68	332	869	-1.38817293546747	-1.38817293546747	0	0	0	TRUE
g70	6511	8218	-0.33590819199236	-0.33590819199236	0	0	0	TRUE
g72	9674	21765	-1.1698255772294	-1.1698255772294	0	0	0	TRUE
g74	67630	111344	-0.719288558763065	-0.719288558763065	0	0	0	TRUE
g75	32944	42216	-0.357774153560863	-0.357774153560863	0	0	0	TRUE
g76	795	2162	-1.44333975756293	-1.44333975756293	0	0	0	TRUE
g77	8290	11034	-0.412511878749982	-0.412511878749982	0	0	0	TRUE
g78	13510	36389	-1.42947473060051	-1.42947473060051	0	0	0	TRUE
g79	3947	9764	-1.30671577588805	-1.30671577588805	0	0	0	TRUE
g80	5436	15077	-1.47173203053902	-1.47173203053902	0	0	0	TRUE
g83	2108	3335	-0.661811894434733	-0.661811894434733	0	0	0	TRUE
g84	3183	5501	-0.789306746009407	-0.789306746009407	0	0	0	TRUE
g85	297	839	-1.49820787963906	-1.49820787963906	0	0	0	TRUE
g91	5413	9848	-0.863402373769816	-0.863402373769816	0	0	0	TRUE
g92	296	101	1.55124188287715	1.55124188287715	0	0	0	TRUE
g93	2196	4	9.1006623390052	9.1006623390052	0	0	0	TRUE
g94	348	1310	-1.91240760057608	-1.91240760057608	0	0	0	TRUE
g95	6707	10958	-0.708245001591214	-0.708245001591214	0	0	0	TRUE
g96	12397	35772	-1.52883974190281	-1.52883974190281	0	0	0	TRUE
g97	8955	17994	-1.00675059071657	-1.00675059071657	0	0	0	TRUE
g98	2245	4751	-1.08151576178233	-1.08151576178233	0	0	0	TRUE
g100	9935	16190	-0.704511113052895	-0.704511113052895	0	0	0	TRUE
g102	8707	12424	-0.512882106384277	-0.512882106384277	0	0	0	TRUE
g106	5051	6204	-0.296629644604888	-0.296629644604888	0	0	0	TRUE
g110	9506	13240	-0.477992815392243	-0.477992815392243	0	0	0	TRUE
g114	1963	3867	-0.978154591616637	-0.978154591616637	0	0	0	TRUE
g115	5137	7468	-0.539795853879243	-0.539795853879243	0	0	0	TRUE
g117	51	0	NA	NA	0	0	0	TRUE
g122	4648	6421	-0.466187929959206	-0.466187929959206	0	0	0	TRUE
g124	5038	728	2.79084076653555	2.79084076653555	0	0	0	TRUE
g125	10	127	-3.6667565918848	-3.6667565918848	0	0	0	TRUE
g127	2451	3253	-0.408400338174292	-0.408400338174292	0	0	0	TRUE
g128	1621	4650	-1.52034662536522	-1.52034662536522	0	0	0	TRUE
g130	1376	181	2.92641886761889	2.92641886761889	0	0	0	TRUE
g131	24047	28076	-0.223480488078598	-0.223480488078598	0	0	0	TRUE
g133	313	912	-1.54287116723212	-1.54287116723212	0	0	0	TRUE
g135	11336	15583	-0.459061340793523	-0.459061340793523	0	0	0	TRUE
g136	752	1159	-0.624075999328834	-0.624075999328834	0	0	0	TRUE
g137	4253	5131	-0.270759170565652	-0.270759170565652	0	0	0	TRUE
g139	2847	5429	-0.931243990787017	-0.931243990787017	0	0	0	TRUE
g140	16685	29249	-0.809835614425282	-0.809835614425282	0	0	0	TRUE
g141	86295	93784	-0.120064842100248	-0.120064842100248	0	0	0	TRUE
g142	283	1105	-1.96517241144691	-1.96517241144691	0	0	0	TRUE
g143	699	1190	-0.76759721281987	-0.76759721281987	0	0	0	TRUE
g145	1758	5443	-1.63046696558169	-1.63046696558169	0	0	0	TRUE
g146	153	572	-1.90248349408574	-1.90248349408574	0	0	0	TRUE
g147	6259	12009	-0.940111940164815	-0.940111940164815	0	0	0	TRUE
g151	1225	3009	-1.2965023574434	-1.2965023574434	0	0	0	TRUE
g153	6851	9367	-0.45127248004319	-0.45127248004319	0	0	0	TRUE
g154	6149	11646	-0.921410811954333	-0.921410811954333	0	0	0	TRUE
g155	437	1759	-2.00905029797136	-2.00905029797136	0	0	0	TRUE
g158	454	1674	-1.88253532525943	-1.88253532525943	0	0	0	TRUE
g159	1893	876	1.11167163610253	1.11167163610253	0	0	0	TRUE
g160	0	201	NA	NA	0	0	0	TRUE
g162	4121	13741	-1.73742063124327	-1.73742063124327	0	0	0	TRUE
g164	6796	13992	-1.04184443673743	-1.04184443673743	0	0	0	TRUE
g165	7529	13862	-0.880605259239051	-0.880605259239051	0	0	0	TRUE
g166	81	755	-3.22048283132782	-3.22048283132782	0	0	0	TRUE
g168	5017	6745	-0.426993505071334	-0.426993505071334	0	0	0	TRUE
g171	24625	68653	-1.47919904009407	-1.47919904009407	0	0	0	TRUE
g174	142	383	-1.43145346242027	-1.43145346242027	0	0	0	TRUE
g176	3072	4124	-0.424866116646953	-0.424866116646953	0	0	0	TRUE
g177	3782	20910	-2.46697179352718	-2.46697179352718	0	0	0	TRUE
g181	2270	2932	-0.369192805955533	-0.369192805955533	0	0	0	TRUE
g183	17	238	-3.8073549220576	-3.8073549220576	0	0	0	TRUE
g184	81	338	-2.06102943339756	-2.06102943339756	0	0	0	TRUE
g186	29004	23646	0.294655723627749	0.294655723627749	0	0	0	TRUE
g187	5172	6895	-0.414828276591088	-0.414828276591088	0	0	0	TRUE
g190	7282	4331	0.749634568376948	0.749634568376948	0	0	0	TRUE
g191	44144	20983	1.07299640287298	1.07299640287298	0	0	0	TRUE
g192	240	657	-1.45285896471381	-1.45285896471381	0	0	0	TRUE
g194	137	5885	-5.42479461696528	-5.42479461696528	0	0	0	TRUE
g195	12403	10685	0.215102209521557	0.215102209521557	0	0	0	TRUE
g196	1702	3658	-1.10382403806275	-1.10382403806275	0	0	0	TRUE
g197	6244	20758	-1.73312500661037	-1.73312500661037	0	0	0	TRUE
g198	172	1003	-2.54384113591008	-2.54384113591008	0	0	0	TRUE
g199	41484	65318	-0.654925607640397	-0.654925607640397	0	0	0	TRUE
g200	7199	18329	-1.3482596535235	-1.3482596535235	0	0	0	TRUE
g201	491	117	2.06921449473129	2.06921449473129	0	0	0	TRUE
g203	18867	25423	-0.430269241860893	-0.430269241860893	0	0	0	TRUE
g204	107	446	-2.05943291351916	-2.05943291351916	0	0	0	TRUE
g207	10386	18967	-0.86885137597119	-0.86885137597119	0	0	0	TRUE
g208	2233	5238	-1.23003280852812	-1.23003280852812	0	0	0	TRUE
g209	312	989	-1.66442449189686	-1.66442449189686	0	0	0	TRUE
g210	2516	14304	-2.50721481430403	-2.50721481430403	0	0	0	TRUE
g212	995	5370	-2.43215365744176	-2.43215365744176	0	0	0	TRUE
g214	1898	3071	-0.694228519954764	-0.694228519954764	0	0	0	TRUE
g215	3905	7990	-1.032872954786	-1.032872954786	0	0	0	TRUE
g216	2209	2910	-0.397625734440371	-0.397625734440371	0	0	0	TRUE
g217	573	938	-0.71105278375847	-0.71105278375847	0	0	0	TRUE
g219	4929	7440	-0.594007640324165	-0.594007640324165	0	0	0	TRUE
g221	36618	52494	-0.519599537678019	-0.519599537678019	0	0	0	TRUE
g224	13	192	-3.88452278258006	-3.88452278258006	0	0	0	TRUE
g226	979	1969	-1.00808234629786	-1.00808234629786	0	0	0	TRUE
g227	63892	106586	-0.738310747629754	-0.738310747629754	0	0	0	TRUE
g228	2384	1204	0.98554884370246	0.98554884370246	0	0	0	TRUE
g229	4884	7076	-0.534870847703054	-0.534870847703054	0	0	0	TRUE
g231	13602	23576	-0.793500168662058	-0.793500168662058	0	0	0	TRUE
g232	0	123	NA	NA	0	0	0	TRUE
g235	20714	33570	-0.696566363344676	-0.696566363344676	0	0	0	TRUE
g236	554	0	NA	NA	0	0	0	TRUE
g237	1671	7920	-2.24478869690578	-2.24478869690578	0	0	0	TRUE
g238	6291	10984	-0.804042263329352	-0.804042263329352	0	0	0	TRUE
g242	404	981	-1.27989784346744	-1.27989784346744	0	0	0	TRUE
g243	739	1154	-0.642996954499331	-0.642996954499331	0	0	0	TRUE
g244	230	609	-1.40480836696196	-1.40480836696196	0	0	0	TRUE
g250	25557	43722	-0.774640900585689	-0.774640900585689	0	0	0	TRUE
