V1 V2 V3 V4 V5 V6 V7 V8 V9
GeneNames value1 value2 log2(Fold_change) "log2(Fold_change) normalized" p-value "q-value(Benjamini et al. 1995)" "q-value(Storey et al. 2003)" "Signature(q-value(Benjamini et al. 1995) < 0.005)"
g144 121 121 0 0 1 1 1 FALSE
g145 14 14 0 0 1 1 1 FALSE
g146 2698 2698 0 0 1 1 1 FALSE
g147 10 10 0 0 1 1 1 FALSE
g148 58 58 0 0 1 1 1 FALSE
g149 1175 1175 0 0 1 1 1 FALSE
g150 14 14 0 0 1 1 1 FALSE
g151 3 3 0 0 1 1 1 FALSE
g152 596 596 0 0 1 1 1 FALSE
g153 459 459 0 0 1 1 1 FALSE
g154 19 19 0 0 1 1 1 FALSE
g155 404 404 0 0 1 1 1 FALSE
g156 886 886 0 0 1 1 1 FALSE
g157 117 117 0 0 1 1 1 FALSE
g158 7111 7111 0 0 1 1 1 FALSE
g159 1763 1763 0 0 1 1 1 FALSE
g160 1 1 0 0 1 1 1 FALSE
g161 4 4 0 0 1 1 1 FALSE
g162 1967 1967 0 0 1 1 1 FALSE
g163 306 306 0 0 1 1 1 FALSE
g164 2 2 0 0 1 1 1 FALSE
g165 1086 1086 0 0 1 1 1 FALSE
g166 685 685 0 0 1 1 1 FALSE
g167 1 1 0 0 1 1 1 FALSE
g168 18 18 0 0 1 1 1 FALSE
g169 41 41 0 0 1 1 1 FALSE
g170 1 1 0 0 1 1 1 FALSE
g171 141 141 0 0 1 1 1 FALSE
g172 90 90 0 0 1 1 1 FALSE
g173 34 34 0 0 1 1 1 FALSE
g174 50 50 0 0 1 1 1 FALSE
g175 695 695 0 0 1 1 1 FALSE
g176 7 7 0 0 1 1 1 FALSE
g177 31 31 0 0 1 1 1 FALSE
g178 34 34 0 0 1 1 1 FALSE
g179 768 768 0 0 1 1 1 FALSE
g180 580 580 0 0 1 1 1 FALSE
g181 99 99 0 0 1 1 1 FALSE
g182 5884 5884 0 0 1 1 1 FALSE
g183 432 432 0 0 1 1 1 FALSE
g184 7548 7548 0 0 1 1 1 FALSE
g185 438 438 0 0 1 1 1 FALSE
g186 573 573 0 0 1 1 1 FALSE
g187 3 3 0 0 1 1 1 FALSE
g188 106 106 0 0 1 1 1 FALSE
g189 15 15 0 0 1 1 1 FALSE
g190 133 133 0 0 1 1 1 FALSE
g191 2237 2237 0 0 1 1 1 FALSE
g192 936 936 0 0 1 1 1 FALSE
g193 3 3 0 0 1 1 1 FALSE
g194 460 460 0 0 1 1 1 FALSE
g195 3938 3938 0 0 1 1 1 FALSE
g196 9 9 0 0 1 1 1 FALSE
g197 78 78 0 0 1 1 1 FALSE
g198 10 10 0 0 1 1 1 FALSE
g199 265 265 0 0 1 1 1 FALSE
g200 5 5 0 0 1 1 1 FALSE
g201 10 10 0 0 1 1 1 FALSE
g202 83 83 0 0 1 1 1 FALSE
g203 60 60 0 0 1 1 1 FALSE
g204 3 3 0 0 1 1 1 FALSE
g205 183 183 0 0 1 1 1 FALSE
g206 345 345 0 0 1 1 1 FALSE
g207 164 164 0 0 1 1 1 FALSE
g208 10 10 0 0 1 1 1 FALSE
g209 135 135 0 0 1 1 1 FALSE
g211 4319 4319 0 0 1 1 1 FALSE
g213 57 57 0 0 1 1 1 FALSE
g214 7 7 0 0 1 1 1 FALSE
g215 19 19 0 0 1 1 1 FALSE
g216 1 1 0 0 1 1 1 FALSE
g217 67 67 0 0 1 1 1 FALSE
g218 15 15 0 0 1 1 1 FALSE
g219 12 12 0 0 1 1 1 FALSE
g220 403 403 0 0 1 1 1 FALSE
g222 3612 3612 0 0 1 1 1 FALSE
g223 686 686 0 0 1 1 1 FALSE
g224 1 1 0 0 1 1 1 FALSE
g225 105 105 0 0 1 1 1 FALSE
g226 1020 1020 0 0 1 1 1 FALSE
g227 48 48 0 0 1 1 1 FALSE
g228 1337 1337 0 0 1 1 1 FALSE
g229 402 402 0 0 1 1 1 FALSE
g230 315 315 0 0 1 1 1 FALSE
g231 840 840 0 0 1 1 1 FALSE
g232 2 2 0 0 1 1 1 FALSE
g233 46 46 0 0 1 1 1 FALSE
g234 14 14 0 0 1 1 1 FALSE
g235 209 209 0 0 1 1 1 FALSE
g236 3857 3857 0 0 1 1 1 FALSE
g237 146 146 0 0 1 1 1 FALSE
g238 21 21 0 0 1 1 1 FALSE
