"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g3751	5926	4666	0.344872318977083	0.344872318977083	0	0	0	TRUE
g3752	6929	7967	-0.201389418680487	-0.201389418680487	0	0	0	TRUE
g3755	232	83	1.48294156378065	1.48294156378065	0	0	0	TRUE
g3757	3588	2707	0.406485002704297	0.406485002704297	0	0	0	TRUE
g3759	4144	7019	-0.760241500752276	-0.760241500752276	0	0	0	TRUE
g3765	7586	5697	0.413136965423584	0.413136965423584	0	0	0	TRUE
g3768	1887	1052	0.842959718308144	0.842959718308144	0	0	0	TRUE
g3770	657	1450	-1.14208762457997	-1.14208762457997	0	0	0	TRUE
g3772	1632	935	0.803602787196496	0.803602787196496	0	0	0	TRUE
g3775	23433	21291	0.138297954278448	0.138297954278448	0	0	0	TRUE
g3776	1658	2234	-0.430185178987564	-0.430185178987564	0	0	0	TRUE
g3777	615	1304	-1.08428555400448	-1.08428555400448	0	0	0	TRUE
g3782	2877	939	1.61536815808551	1.61536815808551	0	0	0	TRUE
g3784	108	15	2.84799690655495	2.84799690655495	0	0	0	TRUE
g3787	5052	6143	-0.282088744176368	-0.282088744176368	0	0	0	TRUE
g3788	36638	21604	0.762042298153649	0.762042298153649	0	0	0	TRUE
g3789	48	198	-2.04439411935845	-2.04439411935845	0	0	0	TRUE
g3792	8123	4868	0.738683476328813	0.738683476328813	0	0	0	TRUE
g3793	252	831	-1.72142474327043	-1.72142474327043	0	0	0	TRUE
g3794	1415	572	1.30671500094086	1.30671500094086	0	0	0	TRUE
g3795	122	372	-1.60842147354514	-1.60842147354514	0	0	0	TRUE
g3796	563	301	0.903371435320528	0.903371435320528	0	0	0	TRUE
g3800	2087	1485	0.490967669471706	0.490967669471706	0	0	0	TRUE
g3802	427	2664	-2.64128610745077	-2.64128610745077	0	0	0	TRUE
g3807	587	1668	-1.50668688033461	-1.50668688033461	0	0	0	TRUE
g3808	19918	24941	-0.324446519407164	-0.324446519407164	0	0	0	TRUE
g3809	8016	2498	1.68210903158725	1.68210903158725	0	0	0	TRUE
g3811	145	570	-1.97490901903717	-1.97490901903717	0	0	0	TRUE
g3812	3008	9059	-1.59054723660412	-1.59054723660412	0	0	0	TRUE
g3814	6	94	-3.96962635095648	-3.96962635095648	0	0	0	TRUE
g3815	292	73	2	2	0	0	0	TRUE
g3816	19176	23846	-0.314445470406133	-0.314445470406133	0	0	0	TRUE
g3817	4269	2584	0.724292092553714	0.724292092553714	0	0	0	TRUE
g3818	12607	9793	0.364402218741523	0.364402218741523	0	0	0	TRUE
g3822	3322	2284	0.540489422599533	0.540489422599533	0	0	0	TRUE
g3826	9383	11671	-0.314807009596475	-0.314807009596475	0	0	0	TRUE
g3827	4737	9401	-0.988840554903653	-0.988840554903653	0	0	0	TRUE
g3828	2140	3020	-0.496937752923932	-0.496937752923932	0	0	0	TRUE
g3832	492	823	-0.742234115082386	-0.742234115082386	0	0	0	TRUE
g3835	8986	11474	-0.352617456128531	-0.352617456128531	0	0	0	TRUE
g3837	41664	26301	0.66368369981671	0.66368369981671	0	0	0	TRUE
g3838	15770	11923	0.403435375622607	0.403435375622607	0	0	0	TRUE
g3839	667	1368	-1.03630956370131	-1.03630956370131	0	0	0	TRUE
g3840	8509	7027	0.276080694006097	0.276080694006097	0	0	0	TRUE
g3845	3127	2446	0.354354815397654	0.354354815397654	0	0	0	TRUE
g3847	6176	7437	-0.268048019539799	-0.268048019539799	0	0	0	TRUE
g3848	1809	4030	-1.15558743079409	-1.15558743079409	0	0	0	TRUE
g3850	2061	925	1.15581923413558	1.15581923413558	0	0	0	TRUE
g3854	39249	26301	0.577538243174994	0.577538243174994	0	0	0	TRUE
g3856	3368	2025	0.733970230407046	0.733970230407046	0	0	0	TRUE
g3857	5	601	-6.90929308582382	-6.90929308582382	0	0	0	TRUE
g3858	34446	48433	-0.491653906581764	-0.491653906581764	0	0	0	TRUE
g3861	9211	7594	0.278497793268876	0.278497793268876	0	0	0	TRUE
g3863	15496	8268	0.906285565177805	0.906285565177805	0	0	0	TRUE
g3864	2705	884	1.61351031932275	1.61351031932275	0	0	0	TRUE
g3867	4324	1948	1.15037284565231	1.15037284565231	0	0	0	TRUE
g3870	163	1461	-3.16401230857242	-3.16401230857242	0	0	0	TRUE
g3872	1545	1034	0.579370652476802	0.579370652476802	0	0	0	TRUE
g3878	1826	2508	-0.457850582817818	-0.457850582817818	0	0	0	TRUE
g3880	2635	4177	-0.664664181638216	-0.664664181638216	0	0	0	TRUE
g3881	0	891	NA	NA	0	0	0	TRUE
g3882	1296	2498	-0.946707758723333	-0.946707758723333	0	0	0	TRUE
g3883	2128	1218	0.804984017594856	0.804984017594856	0	0	0	TRUE
g3884	25	975	-5.28540221886225	-5.28540221886225	0	0	0	TRUE
g3885	11832	5380	1.13701587965508	1.13701587965508	0	0	0	TRUE
g3886	290	3433	-3.56534505194232	-3.56534505194232	0	0	0	TRUE
g3889	370	167	1.14767716804226	1.14767716804226	0	0	0	TRUE
g3893	22426	34154	-0.606882233996158	-0.606882233996158	0	0	0	TRUE
g3894	6003	3380	0.82866042145735	0.82866042145735	0	0	0	TRUE
g3895	263	13	4.33847927115121	4.33847927115121	0	0	0	TRUE
g3896	320	923	-1.52825874275841	-1.52825874275841	0	0	0	TRUE
g3900	136	463	-1.7674055420099	-1.7674055420099	0	0	0	TRUE
g3903	2190	6140	-1.48730778576901	-1.48730778576901	0	0	0	TRUE
g3909	2163	1508	0.520397236693315	0.520397236693315	0	0	0	TRUE
g3911	895	461	0.95712093172228	0.95712093172228	0	0	0	TRUE
g3913	4495	7872	-0.80840910493743	-0.80840910493743	0	0	0	TRUE
g3915	315	672	-1.09310940439148	-1.09310940439148	0	0	0	TRUE
g3916	302	4	6.23840473932508	6.23840473932508	0	0	0	TRUE
g3917	78657	72597	0.115665231045678	0.115665231045678	0	0	0	TRUE
g3920	396	38	3.38142910663603	3.38142910663603	0	0	0	TRUE
g3921	1502	2342	-0.640856262986944	-0.640856262986944	0	0	0	TRUE
g3922	1245	1821	-0.548585180021394	-0.548585180021394	0	0	0	TRUE
g3925	148	812	-2.45588255155623	-2.45588255155623	0	0	0	TRUE
g3926	2875	10898	-1.92242953485743	-1.92242953485743	0	0	0	TRUE
g3927	22661	56445	-1.31663426333709	-1.31663426333709	0	0	0	TRUE
g3928	15900	12448	0.353112800072887	0.353112800072887	0	0	0	TRUE
g3930	2301	1019	1.17510693205828	1.17510693205828	0	0	0	TRUE
g3931	198	37	2.41990325445066	2.41990325445066	0	0	0	TRUE
g3934	2983	3736	-0.324730477374448	-0.324730477374448	0	0	0	TRUE
g3935	7939	10536	-0.408298049296512	-0.408298049296512	0	0	0	TRUE
g3937	752	2201	-1.54935457821392	-1.54935457821392	0	0	0	TRUE
g3938	16237	6443	1.33348060032762	1.33348060032762	0	0	0	TRUE
g3939	2924	4847	-0.729148771213962	-0.729148771213962	0	0	0	TRUE
g3941	6388	12837	-1.00687186693341	-1.00687186693341	0	0	0	TRUE
g3944	5854	3252	0.848095488333724	0.848095488333724	0	0	0	TRUE
g3949	1880	1069	0.81447080884451	0.81447080884451	0	0	0	TRUE
g3950	2010	3137	-0.64219002777731	-0.64219002777731	0	0	0	TRUE
g3952	32609	25576	0.350479550298674	0.350479550298674	0	0	0	TRUE
g3955	331	80	2.04875931191985	2.04875931191985	0	0	0	TRUE
g3956	5946	12254	-1.04326138806969	-1.04326138806969	0	0	0	TRUE
g3957	8	135	-4.07681559705083	-4.07681559705083	0	0	0	TRUE
g3961	1099	2727	-1.31112331396603	-1.31112331396603	0	0	0	TRUE
g3962	3398	2007	0.759645235821603	0.759645235821603	0	0	0	TRUE
g3963	122	298	-1.28843118289928	-1.28843118289928	0	0	0	TRUE
g3967	1718	1045	0.717227094170218	0.717227094170218	0	0	0	TRUE
g3970	34124	70326	-1.04327139344125	-1.04327139344125	0	0	0	TRUE
g3972	365	138	1.40322819698921	1.40322819698921	0	0	0	TRUE
g3973	1183	715	0.726434926674036	0.726434926674036	0	0	0	TRUE
g3975	16930	11456	0.563478575518747	0.563478575518747	0	0	0	TRUE
g3976	14081	12120	0.216360095662305	0.216360095662305	0	0	0	TRUE
g3977	19910	11514	0.790104103691329	0.790104103691329	0	0	0	TRUE
g3979	49	190	-1.95514576421574	-1.95514576421574	0	0	0	TRUE
g3981	3764	5359	-0.509697187982757	-0.509697187982757	0	0	0	TRUE
g3982	56	1413	-4.65719082827634	-4.65719082827634	0	0	0	TRUE
g3983	700	1488	-1.0879476992757	-1.0879476992757	0	0	0	TRUE
g3984	2043	4112	-1.00915106046065	-1.00915106046065	0	0	0	TRUE
g3986	1572	296	2.40893213662966	2.40893213662966	0	0	0	TRUE
g3988	76	898	-3.56264412129756	-3.56264412129756	0	0	0	TRUE
