"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1","g2",23805,20769,0.196832874905828,0.196832874905828,0,0,0,TRUE
"2","g4",3153,2034,0.632405490825835,0.632405490825835,0,0,0,TRUE
"3","g5",3592,7484,-1.05902220849964,-1.05902220849964,0,0,0,TRUE
"4","g6",25,399,-3.99638874644762,-3.99638874644762,0,0,0,TRUE
"5","g7",15201,41148,-1.43665607541309,-1.43665607541309,0,0,0,TRUE
"6","g10",12560,7931,0.663261775900869,0.663261775900869,0,0,0,TRUE
"7","g11",20867,14194,0.555941991046057,0.555941991046057,0,0,0,TRUE
"8","g12",5639,2225,1.34163400687225,1.34163400687225,0,0,0,TRUE
"9","g13",1937,898,1.10903660386211,1.10903660386211,0,0,0,TRUE
"10","g14",80665,72161,0.160723502152369,0.160723502152369,0,0,0,TRUE
"11","g16",113854,99334,0.196825465706091,0.196825465706091,0,0,0,TRUE
"12","g17",5951,4944,0.267453374559738,0.267453374559738,0,0,0,TRUE
"13","g18",2912,1932,0.591915261362923,0.591915261362923,0,0,0,TRUE
"14","g19",4927,3685,0.419044852329751,0.419044852329751,0,0,0,TRUE
"15","g20",21330,14292,0.577676146642665,0.577676146642665,0,0,0,TRUE
"16","g26",747,0,NA,NA,0,0,0,TRUE
"17","g28",1690,10,7.40087943628219,7.40087943628219,0,0,0,TRUE
"18","g30",5123,3219,0.670376314976886,0.670376314976886,0,0,0,TRUE
"19","g31",79285,57126,0.472900431976257,0.472900431976257,0,0,0,TRUE
"20","g32",50934,23923,1.09023070265535,1.09023070265535,0,0,0,TRUE
"21","g33",988,327,1.59522040608659,1.59522040608659,0,0,0,TRUE
"22","g35",5105,3782,0.432761597815402,0.432761597815402,0,0,0,TRUE
"23","g37",42797,21025,1.02540386911762,1.02540386911762,0,0,0,TRUE
"24","g41",4583,3147,0.542315107075888,0.542315107075888,0,0,0,TRUE
"25","g42",13097,2757,2.2480652132882,2.2480652132882,0,0,0,TRUE
"26","g44",266,515,-0.953146186569391,-0.953146186569391,0,0,0,TRUE
"27","g48",463,211,1.13376919455305,1.13376919455305,0,0,0,TRUE
"28","g49",7815,3900,1.00277174925005,1.00277174925005,0,0,0,TRUE
"29","g51",5037,2861,0.816045233335004,0.816045233335004,0,0,0,TRUE
"30","g54",16044,5631,1.51057081526248,1.51057081526248,0,0,0,TRUE
"31","g55",1607,243,2.72534171006931,2.72534171006931,0,0,0,TRUE
"32","g56",28217,9515,1.5682890487473,1.5682890487473,0,0,0,TRUE
"33","g59",5008,6098,-0.28410158807713,-0.28410158807713,0,0,0,TRUE
"34","g60",860,413,1.05819487817001,1.05819487817001,0,0,0,TRUE
"35","g61",3010,1797,0.744173078137123,0.744173078137123,0,0,0,TRUE
"36","g62",40825,36320,0.168688683158141,0.168688683158141,0,0,0,TRUE
"37","g68",50535,25321,0.996948547062582,0.996948547062582,0,0,0,TRUE
"38","g70",3019,1993,0.599129046674568,0.599129046674568,0,0,0,TRUE
"39","g75",21117,16835,0.32694117070201,0.32694117070201,0,0,0,TRUE
"40","g76",6988,3408,1.03595427269092,1.03595427269092,0,0,0,TRUE
"41","g77",1786,2666,-0.57794469996775,-0.57794469996775,0,0,0,TRUE
"42","g78",4536,938,2.27376081242685,2.27376081242685,0,0,0,TRUE
"43","g81",219831,123843,0.827882520583241,0.827882520583241,0,0,0,TRUE
"44","g83",26260,20414,0.363308018781684,0.363308018781684,0,0,0,TRUE
"45","g84",5672,3685,0.622192913257084,0.622192913257084,0,0,0,TRUE
"46","g86",17973,12284,0.549050821910411,0.549050821910411,0,0,0,TRUE
"47","g87",21117,11535,0.872386887846675,0.872386887846675,0,0,0,TRUE
"48","g92",360,11,5.03242147769238,5.03242147769238,0,0,0,TRUE
"49","g93",23202,9704,1.25759771468345,1.25759771468345,0,0,0,TRUE
"50","g94",2030,1083,0.906446484464212,0.906446484464212,0,0,0,TRUE
"51","g97",5609,2857,0.973242546745414,0.973242546745414,0,0,0,TRUE
"52","g98",157343,60955,1.36809652449981,1.36809652449981,0,0,0,TRUE
"53","g100",447,29,3.94615002605575,3.94615002605575,0,0,0,TRUE
"54","g105",823,484,0.765885383147031,0.765885383147031,0,0,0,TRUE
"55","g106",12006,2818,2.09101205631726,2.09101205631726,0,0,0,TRUE
"56","g110",21002,1712,3.61677211402499,3.61677211402499,0,0,0,TRUE
"57","g112",3983,2731,0.5444261655989,0.5444261655989,0,0,0,TRUE
"58","g116",1526,238,2.68072148352659,2.68072148352659,0,0,0,TRUE
"59","g119",884,41,4.43035055477335,4.43035055477335,0,0,0,TRUE
"60","g125",171,389,-1.18577383010029,-1.18577383010029,0,0,0,TRUE
"61","g126",582,1418,-1.28476647433123,-1.28476647433123,0,0,0,TRUE
"62","g129",165,482,-1.54656712198415,-1.54656712198415,0,0,0,TRUE
"63","g132",706,1625,-1.202699629532,-1.202699629532,0,0,0,TRUE
"64","g133",10694,6346,0.752882155480981,0.752882155480981,0,0,0,TRUE
"65","g134",3682,5619,-0.609823773614297,-0.609823773614297,0,0,0,TRUE
"66","g135",4793,3727,0.362914120890112,0.362914120890112,0,0,0,TRUE
"67","g136",5930,1979,1.58326049238585,1.58326049238585,0,0,0,TRUE
"68","g137",1940,1164,0.736965594166207,0.736965594166207,0,0,0,TRUE
"69","g139",6113,1860,1.71657794576945,1.71657794576945,0,0,0,TRUE
"70","g141",39666,33463,0.245336129922533,0.245336129922533,0,0,0,TRUE
"71","g144",3540,2383,0.57097040878009,0.57097040878009,0,0,0,TRUE
"72","g145",24461,22223,0.138429797580505,0.138429797580505,0,0,0,TRUE
"73","g146",58927,48575,0.278714823996866,0.278714823996866,0,0,0,TRUE
"74","g147",273,100,1.44890095114513,1.44890095114513,0,0,0,TRUE
"75","g149",643,314,1.03405417843632,1.03405417843632,0,0,0,TRUE
"76","g150",5809,2453,1.24374259596298,1.24374259596298,0,0,0,TRUE
"77","g152",817,267,1.61349633645813,1.61349633645813,0,0,0,TRUE
"78","g156",218,9,4.59825932333461,4.59825932333461,0,0,0,TRUE
"79","g158",10376,24154,-1.21901174027205,-1.21901174027205,0,0,0,TRUE
"80","g159",585,283,1.04763457163888,1.04763457163888,0,0,0,TRUE
"81","g161",29623,19710,0.587789977208121,0.587789977208121,0,0,0,TRUE
"82","g164",1499,299,2.32578299374975,2.32578299374975,0,0,0,TRUE
"83","g168",2084,2710,-0.378937573962727,-0.378937573962727,0,0,0,TRUE
"84","g170",11436,6850,0.739406631895847,0.739406631895847,0,0,0,TRUE
"85","g172",40,278,-2.79701297783614,-2.79701297783614,0,0,0,TRUE
"86","g176",1295,2507,-0.953009898260023,-0.953009898260023,0,0,0,TRUE
"87","g177",17013,14765,0.204456205664187,0.204456205664187,0,0,0,TRUE
"88","g179",32414,17001,0.930997456931195,0.930997456931195,0,0,0,TRUE
"89","g182",7757,2315,1.74448660815978,1.74448660815978,0,0,0,TRUE
"90","g184",9854,6256,0.65546895900483,0.65546895900483,0,0,0,TRUE
"91","g186",86754,28889,1.58641001260365,1.58641001260365,0,0,0,TRUE
"92","g187",254,499,-0.974211318565095,-0.974211318565095,0,0,0,TRUE
"93","g189",12698,6751,0.9114281589924,0.9114281589924,0,0,0,TRUE
"94","g191",6665,4228,0.656629498593654,0.656629498593654,0,0,0,TRUE
"95","g192",1743,1252,0.477338007193067,0.477338007193067,0,0,0,TRUE
"96","g194",201,5,5.32912359629157,5.32912359629157,0,0,0,TRUE
"97","g196",2505,785,1.67404604430358,1.67404604430358,0,0,0,TRUE
"98","g197",9301,4456,1.0616366037021,1.0616366037021,0,0,0,TRUE
"99","g198",1306,515,1.34251055947585,1.34251055947585,0,0,0,TRUE
"100","g200",11086,7372,0.588610936656261,0.588610936656261,0,0,0,TRUE
"101","g202",2320,1397,0.731792784605471,0.731792784605471,0,0,0,TRUE
"102","g203",16405,8405,0.964815869282253,0.964815869282253,0,0,0,TRUE
"103","g204",2654,986,1.42850881899228,1.42850881899228,0,0,0,TRUE
"104","g205",18423,12004,0.617992784867434,0.617992784867434,0,0,0,TRUE
"105","g206",1863,1275,0.547130427195418,0.547130427195418,0,0,0,TRUE
