"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"2262","g4035",732,44,4.05626821964675,4.05626821964675,0,0,0,TRUE
"2263","g4036",306,99,1.62803122261304,1.62803122261304,0,0,0,TRUE
"2264","g4037",26937,74584,-1.46927698669263,-1.46927698669263,0,0,0,TRUE
"2265","g4038",2940,2022,0.540033157820712,0.540033157820712,0,0,0,TRUE
"2266","g4041",63275,56147,0.172426662537294,0.172426662537294,0,0,0,TRUE
"2267","g4044",741,1318,-0.830804922702217,-0.830804922702217,0,0,0,TRUE
"2268","g4046",61,1212,-4.31243664591006,-4.31243664591006,0,0,0,TRUE
"2269","g4050",3129,5586,-0.836113915039029,-0.836113915039029,0,0,0,TRUE
"2270","g4053",607,1759,-1.53498706121628,-1.53498706121628,0,0,0,TRUE
"2271","g4055",72,229,-1.66927878665463,-1.66927878665463,0,0,0,TRUE
"2272","g4057",5578,13724,-1.29888119152934,-1.29888119152934,0,0,0,TRUE
"2273","g4059",16451,12074,0.446271576857836,0.446271576857836,0,0,0,TRUE
"2274","g4061",8283,4469,0.890201343914216,0.890201343914216,0,0,0,TRUE
"2275","g4063",1143,2324,-1.02378466519005,-1.02378466519005,0,0,0,TRUE
"2276","g4064",30122,37813,-0.328064750794738,-0.328064750794738,0,0,0,TRUE
"2277","g4065",28,159,-2.50552803322675,-2.50552803322675,0,0,0,TRUE
"2278","g4068",1916,3794,-0.985622117675296,-0.985622117675296,0,0,0,TRUE
"2279","g4070",1861,3548,-0.930927954241913,-0.930927954241913,0,0,0,TRUE
"2280","g4071",535,982,-0.876184133026182,-0.876184133026182,0,0,0,TRUE
"2281","g4073",2710,7875,-1.53898707192077,-1.53898707192077,0,0,0,TRUE
"2282","g4074",75,411,-2.4541758931858,-2.4541758931858,0,0,0,TRUE
"2283","g4075",755,363,1.05650709621669,1.05650709621669,0,0,0,TRUE
"2284","g4076",1470,2526,-0.781038484063826,-0.781038484063826,0,0,0,TRUE
"2285","g4077",6257,9857,-0.65567752190802,-0.65567752190802,0,0,0,TRUE
"2286","g4078",3658,5946,-0.700864388158928,-0.700864388158928,0,0,0,TRUE
"2287","g4080",5929,8703,-0.553723999529351,-0.553723999529351,0,0,0,TRUE
"2288","g4082",1014,7954,-2.97162290980187,-2.97162290980187,0,0,0,TRUE
"2289","g4083",63,306,-2.28010791919273,-2.28010791919273,0,0,0,TRUE
"2290","g4084",5207,9852,-0.919964221108712,-0.919964221108712,0,0,0,TRUE
"2291","g4086",388,823,-1.0848357782345,-1.0848357782345,0,0,0,TRUE
"2292","g4087",10424,9170,0.184915350085717,0.184915350085717,0,0,0,TRUE
"2293","g4089",5376,6961,-0.372761436837925,-0.372761436837925,0,0,0,TRUE
"2294","g4091",3619,821,2.14013698059473,2.14013698059473,0,0,0,TRUE
"2295","g4093",1051,1646,-0.647201666459448,-0.647201666459448,0,0,0,TRUE
"2296","g4094",5171,7241,-0.485745645997735,-0.485745645997735,0,0,0,TRUE
"2297","g4095",17410,10495,0.730214036358948,0.730214036358948,0,0,0,TRUE
"2298","g4096",11550,26133,-1.17797990013818,-1.17797990013818,0,0,0,TRUE
"2299","g4098",6855,5494,0.319299755590732,0.319299755590732,0,0,0,TRUE
"2300","g4099",68,1136,-4.06228427825434,-4.06228427825434,0,0,0,TRUE
"2301","g4105",940,380,1.30666133823405,1.30666133823405,0,0,0,TRUE
"2302","g4106",1812,2685,-0.56733913282654,-0.56733913282654,0,0,0,TRUE
"2303","g4107",1787,3088,-0.789133118226589,-0.789133118226589,0,0,0,TRUE
"2304","g4109",279,1076,-1.94734105072744,-1.94734105072744,0,0,0,TRUE
"2305","g4110",280,635,-1.18132976471456,-1.18132976471456,0,0,0,TRUE
"2306","g4113",16213,43762,-1.43252760624142,-1.43252760624142,0,0,0,TRUE
"2307","g4115",838,1278,-0.608865687247643,-0.608865687247643,0,0,0,TRUE
