"","x"
"1","g4129"
"2","g285"
"3","g402"
"4","g404"
"5","g599"
"6","g170"
"7","g532"
"8","g192"
"9","g1059"
"10","g863"
"11","g1077"
"12","g7547"
"13","g577"
"14","g401"
"15","g473"
"16","g119"
"17","g3118"
"18","g336"
"19","g441"
"20","g317"
"21","g1280"
"22","g578"
"23","g939"
"24","g1039"
"25","g437"
"26","g7605"
"27","g526"
"28","g596"
"29","g489"
"30","g8"
"31","g333"
"32","g1481"
"33","g1014"
"34","g1"
"35","g9459"
"36","g1136"
"37","g856"
"38","g808"
"39","g415"
"40","g594"
"41","g290"
"42","g598"
"43","g396"
"44","g8959"
"45","g1023"
"46","g281"
"47","g510"
"48","g1221"
"49","g801"
"50","g222"
"51","g1200"
"52","g151"
"53","g53"
"54","g374"
"55","g7324"
"56","g1210"
"57","g12212"
"58","g1127"
"59","g838"
"60","g571"
"61","g438"
"62","g63"
"63","g5020"
"64","g174"
"65","g235"
"66","g839"
"67","g1174"
"68","g933"
"69","g190"
"70","g754"
"71","g943"
"72","g973"
"73","g11407"
"74","g11740"
"75","g334"
"76","g6779"
"77","g11174"
"78","g645"
"79","g534"
"80","g386"
"81","g426"
"82","g1284"
"83","g568"
"84","g657"
"85","g1208"
"86","g1198"
"87","g411"
"88","g364"
"89","g585"
"90","g149"
"91","g627"
"92","g573"
"93","g924"
"94","g254"
"95","g207"
"96","g213"
"97","g61"
"98","g651"
"99","g69"
"100","g12086"
"101","g108"
"102","g229"
"103","g623"
"104","g12835"
"105","g131"
"106","g517"
"107","g209"
"108","g11360"
"109","g589"
"110","g407"
"111","g1106"
"112","g179"
"113","g806"
"114","g46"
"115","g597"
"116","g293"
"117","g369"
"118","g430"
"119","g391"
"120","g1035"
"121","g5525"
"122","g587"
"123","g107"
"124","g713"
"125","g279"
"126","g2433"
"127","g1260"
"128","g1107"
"129","g789"
"130","g7286"
"131","g1114"
"132","g1265"
"133","g922"
"134","g169"
"135","g516"
"136","g1293"
"137","g180"
"138","g189"
"139","g609"
"140","g3943"
"141","g115"
"142","g136"
"143","g100"
"144","g9993"
"145","g50"
"146","g1218"
"147","g522"
"148","g13"
"149","g506"
"150","g797"
"151","g419"
"152","g4006"
"153","g10263"
"154","g10749"
"155","g12827"
"156","g4424"
"157","g5205"
"158","g152"
"159","g810"
"160","g351"
"161","g1236"
"162","g8547"
"163","g19"
"164","g463"
"165","g1272"
"166","g1145"
"167","g686"
"168","g12861"
"169","g9277"
"170","g1217"
"171","g9174"
"172","g1018"
"173","g824"
"174","g1296"
"175","g982"
"176","g4463"
"177","g632"
"178","g3884"
"179","g6282"
"180","g633"
"181","g304"
"182","g2635"
"183","g14"
"184","g1191"
"185","g1186"
"186","g795"
"187","g204"
"188","g303"
"189","g1253"
"190","g2086"
"191","g660"
"192","g738"
"193","g821"
"194","g284"
"195","g805"
"196","g413"
"197","g490"
"198","g104"
"199","g345"
"200","g12138"
"201","g893"
"202","g1259"
"203","g663"
"204","g1239"
"205","g7627"
"206","g844"
"207","g93"
"208","g361"
"209","g167"
"210","g12168"
"211","g5657"
"212","g306"
"213","g298"
"214","g758"
"215","g499"
"216","g11699"
"217","g12404"
"218","g4177"
"219","g5783"
"220","g825"
"221","g1075"
"222","g7540"
"223","g942"
"224","g95"
"225","g1021"
"226","g4814"
"227","g161"
"228","g1170"
"229","g756"
"230","g724"
"231","g7232"
"232","g671"
"233","g529"
"234","g731"
"235","g761"
"236","g628"
"237","g1124"
"238","g1142"
"239","g1245"
"240","g1203"
"241","g1195"
"242","g800"
"243","g44"
"244","g38"
"245","g878"
"246","g1054"
"247","g616"
"248","g1128"
"249","g583"
"250","g380"
"251","g1031"
"252","g310"
"253","g780"
"254","g11018"
"255","g9012"
"256","g12276"
"257","g644"
"258","g10946"
"259","g763"
"260","g3611"
"261","g59"
"262","g471"
"263","g2573"
"264","g158"
"265","g9677"
"266","g466"
"267","g446"
"268","g3220"
"269","g9833"
"270","g3"
"271","g775"
"272","g626"
"273","g1254"
"274","g467"
"275","g673"
"276","g157"
"277","g11872"
"278","g12701"
"279","g640"
"280","g8078"
"281","g1011"
"282","g12167"
"283","g32"
"284","g2561"
"285","g337"
"286","g636"
"287","g2148"
"288","g70"
"289","g995"
"290","g745"
"291","g3680"
"292","g558"
