"","x"
"1","g1"
"2","g3"
"3","g5"
"4","g6"
"5","g7"
"6","g9"
"7","g11"
"8","g12"
"9","g13"
"10","g14"
"11","g15"
"12","g16"
"13","g17"
"14","g19"
"15","g21"
"16","g23"
"17","g26"
"18","g27"
"19","g28"
"20","g29"
"21","g30"
"22","g32"
"23","g35"
"24","g37"
"25","g38"
"26","g40"
"27","g41"
"28","g42"
"29","g43"
"30","g46"
"31","g48"
"32","g50"
"33","g51"
"34","g54"
"35","g55"
"36","g58"
"37","g60"
"38","g62"
"39","g63"
"40","g64"
"41","g65"
"42","g67"
"43","g70"
"44","g74"
"45","g81"
"46","g82"
"47","g85"
"48","g86"
"49","g90"
"50","g91"
"51","g93"
"52","g94"
"53","g95"
"54","g96"
"55","g98"
"56","g100"
"57","g101"
"58","g102"
"59","g103"
"60","g110"
"61","g113"
"62","g114"
"63","g115"
"64","g118"
"65","g120"
"66","g123"
"67","g126"
"68","g129"
"69","g130"
"70","g132"
"71","g134"
"72","g141"
"73","g145"
"74","g146"
"75","g147"
"76","g148"
"77","g150"
"78","g152"
"79","g155"
"80","g157"
"81","g161"
"82","g163"
"83","g164"
"84","g165"
"85","g169"
"86","g172"
"87","g176"
"88","g177"
"89","g179"
"90","g180"
"91","g184"
"92","g191"
"93","g196"
"94","g198"
"95","g200"
"96","g201"
"97","g203"
"98","g205"
"99","g206"
"100","g208"
"101","g214"
"102","g215"
"103","g218"
"104","g220"
"105","g221"
"106","g223"
"107","g228"
"108","g229"
"109","g234"
"110","g236"
"111","g242"
"112","g243"
"113","g244"
"114","g251"
"115","g252"
"116","g254"
"117","g257"
"118","g259"
"119","g262"
"120","g264"
"121","g267"
"122","g268"
"123","g269"
"124","g270"
"125","g272"
"126","g273"
"127","g274"
"128","g275"
"129","g277"
"130","g278"
"131","g280"
"132","g283"
"133","g284"
"134","g286"
"135","g288"
"136","g289"
"137","g290"
"138","g291"
"139","g294"
"140","g296"
"141","g297"
"142","g298"
"143","g300"
"144","g302"
"145","g303"
"146","g305"
"147","g310"
"148","g312"
"149","g314"
"150","g317"
"151","g320"
