"SampleID" "Groups"
"1" "1sample1" "1"
"2" "1sample2" "1"
"3" "1sample3" "1"
"4" "1sample4" "1"
"5" "1sample5" "1"
"6" "sample6" "2"
"7" "sample7" "2"
"8" "sample8" "2"
"9" "sample9" "2"
"10" "sample10" "2"
