"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1041","g1752",5451,9229,-0.759653414121848,-0.759653414121848,0,0,0,TRUE
"1042","g1753",8058,17339,-1.10552698515537,-1.10552698515537,0,0,0,TRUE
"1043","g1754",22038,62926,-1.5136629365163,-1.5136629365163,0,0,0,TRUE
"1044","g1755",224,497,-1.14974711950468,-1.14974711950468,0,0,0,TRUE
"1045","g1757",283,774,-1.45153151331253,-1.45153151331253,0,0,0,TRUE
"1046","g1758",114631,198126,-0.789420967833593,-0.789420967833593,0,0,0,TRUE
"1047","g1759",1474,829,0.83029251759932,0.83029251759932,0,0,0,TRUE
"1048","g1760",345,1026,-1.57236246394152,-1.57236246394152,0,0,0,TRUE
"1049","g1764",151,450,-1.57537645189196,-1.57537645189196,0,0,0,TRUE
"1050","g1766",4918,6697,-0.445443233116073,-0.445443233116073,0,0,0,TRUE
"1051","g1767",4350,7764,-0.835784717090212,-0.835784717090212,0,0,0,TRUE
"1052","g1768",4262,894,2.25318385659939,2.25318385659939,0,0,0,TRUE
"1053","g1770",524,1332,-1.34595536553381,-1.34595536553381,0,0,0,TRUE
"1054","g1771",6370,13783,-1.11352466081549,-1.11352466081549,0,0,0,TRUE
"1055","g1772",16797,24038,-0.51711328062559,-0.51711328062559,0,0,0,TRUE
"1056","g1773",19595,21881,-0.159193100385664,-0.159193100385664,0,0,0,TRUE
"1057","g1776",1562,2476,-0.664616861072284,-0.664616861072284,0,0,0,TRUE
"1058","g1777",12310,23576,-0.937488203752181,-0.937488203752181,0,0,0,TRUE
"1059","g1779",15796,33329,-1.07721875870816,-1.07721875870816,0,0,0,TRUE
"1060","g1780",1013,1966,-0.956629147539443,-0.956629147539443,0,0,0,TRUE
"1061","g1781",182,406,-1.15754127698648,-1.15754127698648,0,0,0,TRUE
"1062","g1782",15277,18203,-0.252814973781778,-0.252814973781778,0,0,0,TRUE
"1063","g1785",2699,6196,-1.19891216732272,-1.19891216732272,0,0,0,TRUE
"1064","g1787",448,938,-1.06608919045777,-1.06608919045777,0,0,0,TRUE
"1065","g1788",4295,8913,-1.05325297453074,-1.05325297453074,0,0,0,TRUE
"1066","g1790",8,420,-5.71424551766612,-5.71424551766612,0,0,0,TRUE
"1067","g1791",651,1407,-1.1118928800709,-1.1118928800709,0,0,0,TRUE
"1068","g1792",2878,4667,-0.697428875223846,-0.697428875223846,0,0,0,TRUE
"1069","g1794",30,156,-2.37851162325373,-2.37851162325373,0,0,0,TRUE
"1070","g1795",14128,27649,-0.96867005438158,-0.96867005438158,0,0,0,TRUE
"1071","g1796",10799,25426,-1.23540679280488,-1.23540679280488,0,0,0,TRUE
"1072","g1797",21463,28544,-0.411335776865954,-0.411335776865954,0,0,0,TRUE
"1073","g1798",4061,5101,-0.328945073472617,-0.328945073472617,0,0,0,TRUE
"1074","g1799",2103,3690,-0.811171966215978,-0.811171966215978,0,0,0,TRUE
"1075","g1800",2863,6478,-1.17802079779583,-1.17802079779583,0,0,0,TRUE
"1076","g1802",230,554,-1.26825211510481,-1.26825211510481,0,0,0,TRUE
"1077","g1803",1164,1670,-0.520757044453132,-0.520757044453132,0,0,0,TRUE
"1078","g1804",217,714,-1.71822903158462,-1.71822903158462,0,0,0,TRUE
"1079","g1805",163150,377387,-1.20984573927499,-1.20984573927499,0,0,0,TRUE
"1080","g1807",4980,10161,-1.02882474525987,-1.02882474525987,0,0,0,TRUE
"1081","g1809",2016,13367,-2.72910816899243,-2.72910816899243,0,0,0,TRUE
"1082","g1810",7298,18615,-1.35089256015439,-1.35089256015439,0,0,0,TRUE
"1083","g1812",21367,41669,-0.963590114823582,-0.963590114823582,0,0,0,TRUE
"1084","g1814",2825,5284,-0.903379599056915,-0.903379599056915,0,0,0,TRUE
"1085","g1815",27341,65880,-1.26877454442983,-1.26877454442983,0,0,0,TRUE
"1086","g1817",24307,64762,-1.41377569493259,-1.41377569493259,0,0,0,TRUE
"1087","g1819",50572,70714,-0.483657034254547,-0.483657034254547,0,0,0,TRUE
"1088","g1823",557,1445,-1.37532026004801,-1.37532026004801,0,0,0,TRUE
"1089","g1824",4696,12150,-1.37145200027045,-1.37145200027045,0,0,0,TRUE
"1090","g1825",494,1160,-1.23154185843026,-1.23154185843026,0,0,0,TRUE
"1091","g1827",465,951,-1.03221462486517,-1.03221462486517,0,0,0,TRUE
"1092","g1828",9235,13433,-0.540597672383184,-0.540597672383184,0,0,0,TRUE
"1093","g1829",2493,7651,-1.61776544023801,-1.61776544023801,0,0,0,TRUE
"1094","g1830",4540,19619,-2.11148730519703,-2.11148730519703,0,0,0,TRUE
"1095","g1832",848,5917,-2.80272972518681,-2.80272972518681,0,0,0,TRUE
"1096","g1835",7066,9026,-0.353193029321835,-0.353193029321835,0,0,0,TRUE
"1097","g1837",2090,6495,-1.635826583367,-1.635826583367,0,0,0,TRUE
"1098","g1838",71940,52278,0.460590210483677,0.460590210483677,0,0,0,TRUE
"1099","g1840",348,905,-1.37883048612184,-1.37883048612184,0,0,0,TRUE
"1100","g1841",2759,5066,-0.876701620359228,-0.876701620359228,0,0,0,TRUE
"1101","g1842",692,1137,-0.716388311255523,-0.716388311255523,0,0,0,TRUE
"1102","g1845",499,945,-0.921274513771175,-0.921274513771175,0,0,0,TRUE
"1103","g1848",40143,119180,-1.56992181003867,-1.56992181003867,0,0,0,TRUE
"1104","g1849",3378,14019,-2.05314220978457,-2.05314220978457,0,0,0,TRUE
"1105","g1850",2480,3969,-0.678435441725595,-0.678435441725595,0,0,0,TRUE
"1106","g1851",420,195,1.10691520391651,1.10691520391651,0,0,0,TRUE
"1107","g1852",22654,11413,0.989087742740617,0.989087742740617,0,0,0,TRUE
"1108","g1853",2882,3952,-0.455512611409929,-0.455512611409929,0,0,0,TRUE
"1109","g1854",4776,10025,-1.06972749496484,-1.06972749496484,0,0,0,TRUE
"1110","g1855",650,1354,-1.05871611565918,-1.05871611565918,0,0,0,TRUE
"1111","g1858",647,5299,-3.03388251005083,-3.03388251005083,0,0,0,TRUE
"1112","g1859",29378,33423,-0.186105050202841,-0.186105050202841,0,0,0,TRUE
"1113","g1860",347,672,-0.953525570200499,-0.953525570200499,0,0,0,TRUE
"1114","g1862",6863,10449,-0.606453618964293,-0.606453618964293,0,0,0,TRUE
"1115","g1863",5221,7142,-0.452001975238138,-0.452001975238138,0,0,0,TRUE
"1116","g1864",40,304,-2.92599941855622,-2.92599941855622,0,0,0,TRUE
"1117","g1865",1233,3595,-1.54381897092382,-1.54381897092382,0,0,0,TRUE
"1118","g1866",913,2219,-1.28122290221279,-1.28122290221279,0,0,0,TRUE
"1119","g1867",624,1109,-0.829641431299461,-0.829641431299461,0,0,0,TRUE
"1120","g1869",208,1044,-2.32746627842879,-2.32746627842879,0,0,0,TRUE
"1121","g1870",574,1170,-1.02738588779508,-1.02738588779508,0,0,0,TRUE
"1122","g1872",21543,31632,-0.554165607831901,-0.554165607831901,0,0,0,TRUE
"1123","g1873",4140,10309,-1.31620172145838,-1.31620172145838,0,0,0,TRUE
"1124","g1875",85412,250748,-1.55372751242064,-1.55372751242064,0,0,0,TRUE
