"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1",284.482447784181,1.60689499824849,0.427384223979995,3.75983695253035,0.000170024133184948,0.00461821340284673
"g3",3479.49715937502,4.0802362629241,0.790179116103306,5.16368527055663,2.42134688774696e-07,1.42649395185896e-05
"g5",11349.5174881404,1.23213265458947,0.333766179007744,3.69160427893708,0.000222843995909677,0.00584376673826556
"g6",2162.69769929689,1.93855517632159,0.341217229634588,5.68129334617013,1.33679968002538e-08,1.05167008973704e-06
"g7",2870.05793661649,1.34779019595939,0.385264330522827,3.4983518825383,0.000468143036526428,0.0109618538244355
"g9",234.456142161097,4.45138467753555,1.01183425335526,4.39932198655528,1.08589609756583e-05,0.000410110203870021
"g12",12614.5570676455,0.767179058509807,0.242349272891047,3.1655925737178,0.00154767405281941,0.0298923512417305
"g13",2191.08983183499,0.672007542467781,0.171885984937702,3.90961219270635,9.2444412728006e-05,0.00270457553972048
"g15",7699.44424629396,0.786894264386551,0.212277558034486,3.70691217513777,0.000209801657807798,0.00555823611711748
"g16",576.752446500416,1.4473455822911,0.294885626972291,4.90815912986866,9.19352478100916e-07,4.63339284080391e-05
"g18",3806.66813661297,0.761706844921215,0.208210074638696,3.6583572924749,0.000253837016334003,0.00652391471064005
"g19",1797.62696928813,1.54827411462534,0.397288031755251,3.89710736511479,9.73484690057039e-05,0.00283519175420224
"g23",832.479061777041,1.11561668854377,0.356435815258782,3.12992309073599,0.00174852075262936,0.0331756099270942
"g24",24119.6528507239,1.42824937679076,0.178109639387977,8.01893362817714,1.06667120325685e-15,2.33257489227455e-13
"g28",54633.2547032733,0.891707590029607,0.241448116145263,3.6931644125694,0.000221480726750776,0.00581984589926376
"g29",8952.23495896347,1.18401591837102,0.179353191820013,6.60158822018186,4.06776082583364e-11,4.48566240811159e-09
"g30",17959.4512398824,1.49537194152861,0.323402257343587,4.62387601685756,3.76635039280176e-06,0.00016118852492017
"g31",6905.71752987624,1.44241559859183,0.41707212675108,3.45843202188551,0.000543329365282006,0.0125179204836937
"g34",54961.6091702781,0.973310263231467,0.20210193784938,4.81593731158008,1.4651051785785e-06,7.05327873657457e-05
"g36",11749.7155163282,1.62152071257195,0.243336209980053,6.66370497306945,2.67009210490983e-11,3.07585074442381e-09
"g38",1176.43311642272,2.47081701115014,0.455074549025862,5.42947747009626,5.6519287228863e-08,3.79797835326453e-06
"g40",26247.4740430451,1.79188784081718,0.381338587160682,4.69894183580782,2.61512912490199e-06,0.000116748774980919
"g49",10156.4017644772,1.18204833698383,0.384074760589754,3.07765169252145,0.00208638620099428,0.0386606434598101
"g50",11766.9987513986,0.931400057494651,0.280832188997087,3.31657158255571,0.000911292390957796,0.0190868416041193
"g55",2949.65824765572,1.0289193381071,0.262339871726779,3.92208523749944,8.77859236617454e-05,0.00259179402078682
"g61",18861.7139610422,1.24325688922172,0.156394115939955,7.94951192216878,1.87247762337416e-15,3.96044365520877e-13
"g63",855.169720338663,1.17344662892655,0.389660256129718,3.01146090848924,0.0025999387700057,0.0465894583480743
