"","x"
"1","g238"
"2","g2363"
"3","g70"
"4","g12225"
"5","g377"
"6","g688"
"7","g36"
"8","g518"
"9","g11587"
"10","g1107"
"11","g169"
"12","g716"
"13","g910"
"14","g424"
"15","g495"
"16","g750"
"17","g1293"
"18","g85"
"19","g251"
"20","g336"
"21","g801"
"22","g1184"
"23","g1014"
"24","g985"
"25","g1176"
"26","g258"
"27","g84"
"28","g689"
"29","g325"
"30","g305"
"31","g572"
"32","g529"
"33","g992"
"34","g1263"
"35","g633"
"36","g1252"
"37","g1156"
"38","g954"
"39","g376"
"40","g170"
"41","g995"
"42","g625"
"43","g445"
"44","g3701"
"45","g10807"
"46","g564"
"47","g8812"
"48","g778"
"49","g1295"
"50","g1066"
"51","g2674"
"52","g461"
"53","g646"
"54","g289"
"55","g489"
"56","g1136"
"57","g11577"
"58","g1006"
"59","g76"
"60","g52"
"61","g208"
"62","g125"
"63","g6698"
"64","g561"
"65","g10358"
"66","g9425"
"67","g348"
"68","g4876"
"69","g1303"
"70","g497"
"71","g685"
"72","g802"
"73","g1164"
"74","g938"
"75","g1253"
"76","g9306"
"77","g16"
"78","g12476"
"79","g1478"
"80","g62"
"81","g697"
"82","g438"
"83","g297"
"84","g1177"
"85","g603"
"86","g881"
"87","g464"
"88","g779"
"89","g601"
"90","g848"
"91","g1172"
"92","g929"
"93","g8846"
"94","g878"
"95","g1170"
"96","g449"
"97","g771"
"98","g508"
"99","g246"
"100","g148"
"101","g6364"
"102","g1021"
"103","g427"
"104","g491"
"105","g709"
"106","g452"
"107","g1080"
"108","g1008"
"109","g362"
"110","g331"
"111","g12384"
"112","g342"
"113","g700"
"114","g462"
"115","g544"
"116","g1096"
"117","g40"
"118","g516"
"119","g520"
"120","g803"
"121","g6037"
"122","g974"
"123","g319"
"124","g583"
"125","g1134"
"126","g1056"
"127","g1670"
"128","g226"
"129","g8445"
"130","g7627"
"131","g312"
"132","g2652"
"133","g447"
"134","g1160"
"135","g1095"
"136","g763"
"137","g1266"
"138","g1224"
"139","g1294"
"140","g1129"
"141","g11468"
"142","g243"
"143","g232"
"144","g869"
"145","g6469"
"146","g1025"
"147","g479"
"148","g1084"
"149","g1275"
"150","g11226"
"151","g14"
"152","g636"
"153","g355"
"154","g9697"
"155","g683"
"156","g166"
"157","g10451"
"158","g358"
"159","g121"
"160","g3285"
"161","g324"
"162","g6422"
"163","g773"
"164","g793"
"165","g10314"
"166","g1202"
"167","g212"
"168","g856"
"169","g23"
"170","g1038"
"171","g571"
"172","g351"
"173","g989"
"174","g79"
"175","g828"
"176","g620"
"177","g390"
"178","g1256"
"179","g146"
"180","g458"
"181","g7728"
"182","g1060"
"183","g197"
"184","g770"
"185","g237"
"186","g12997"
"187","g225"
"188","g678"
"189","g10461"
"190","g712"
"191","g310"
"192","g550"
"193","g6"
"194","g998"
"195","g582"
"196","g207"
"197","g832"
"198","g662"
"199","g1139"
"200","g973"
"201","g493"
"202","g5766"
"203","g101"
"204","g262"
"205","g167"
"206","g1122"
"207","g92"
"208","g1157"
"209","g385"
"210","g4444"
"211","g827"
"212","g6929"
"213","g897"
"214","g97"
"215","g11311"
"216","g532"
"217","g483"
"218","g255"
"219","g8335"
"220","g660"
"221","g1076"
"222","g10151"
"223","g1050"
"224","g475"
"225","g12684"
"226","g519"
"227","g1142"
"228","g644"
"229","g219"
"230","g55"
"231","g680"
"232","g231"
"233","g852"
"234","g1036"
"235","g106"
"236","g570"
"237","g256"
"238","g4701"
"239","g7764"
"240","g330"
"241","g1153"
"242","g607"
"243","g9716"
"244","g6671"
"245","g361"
"246","g816"
"247","g599"
"248","g681"
"249","g934"
"250","g1031"
"251","g284"
"252","g165"
"253","g349"
"254","g194"
"255","g1163"
"256","g506"
"257","g402"
"258","g7565"
"259","g7267"
"260","g1044"
"261","g8714"
