"","X1_mean","X2_mean","M","D","prob","ranking"
"g238",87.2679663865817,127512.056612166,-10.5128938655312,127424.78864578,0.997460952527506,-127424.789079451
"g2363",46024.3230082245,849.747925174546,5.75921775612778,45174.5750830499,0.975798261137185,45174.5754501656
"g70",11315.7463081268,135918.77640242,-3.58634112693814,124603.030094293,0.952262060475494,-124603.030145905
"g12225",14837.5604458657,196.479273778622,6.23873296358425,14641.0811720871,0.949238285758252,14641.0825012849
"g377",650.998967642431,16904.1990419993,-4.69858259401297,16253.2000743568,0.9399630684004,-16253.2007535055
"g688",47092.603286405,4794.2937515423,3.29611026496026,42298.3095348627,0.937416326844656,42298.309663288
"g36",19598.1784742648,146732.117957282,-2.9043932183962,127133.939483017,0.930937908748173,-127133.939516193
"g518",9133.04406838881,71615.199257228,-2.97109811082765,62482.1551888392,0.930403169962299,-62482.1552594788
"g11587",6991.46811166063,52372.1987075594,-2.90513383523405,45380.7305958988,0.925159652227437,-45380.7306888876
"g1107",49854.0827285,6592.52791714055,2.91880797635559,43261.5548113594,0.925005770562437,43261.5549098237
"g169",217763.668536724,1426536.2712346,-2.71168124796628,1208772.60269788,0.92409786873894,-1208772.60270092
"g716",267654.86522794,40589.4264211602,2.72119801888633,227065.43880678,0.923917057782565,227065.438823085
"g910",26824.3673231031,2937.21553948244,3.19102310125242,23887.1517836206,0.922812956836193,23887.1519967609
"g424",18564.0029185801,121825.128596503,-2.71423201086518,103261.125677923,0.92210125413557,-103261.125713595
"g495",12184.4136516989,81067.1488897153,-2.73408057857459,68882.7352380164,0.921101023313072,-68882.7352922767
"g750",141723.177411809,24404.3215740563,2.53786716461329,117318.855837752,0.913745479726091,117318.855865202
"g1293",79167.0917137307,13445.3659381198,2.5577918323377,65721.725775611,0.912275909825344,65721.7258253837
"g85",38332.7050053244,213667.719485732,-2.47872125202535,175335.014480408,0.910902515965223,-175335.014497929
"g251",3112.55746778808,23538.6159413667,-2.9188571138221,20426.0584735787,0.908890513195353,-20426.0586821291
"g336",91519.019737689,483669.138569626,-2.40187698224411,392150.118831937,0.906551511887359,-392150.118839293
"g801",25661.7975180221,3937.56432932994,2.70424683103916,21724.2331886921,0.901365699776872,21724.2333570053
"g1184",15487.5563334347,1767.31610728791,3.13147751723685,13720.2402261468,0.900573209202124,13720.2405835076
"g1014",8251.33668386231,268.288957596189,4.94276826758019,7983.04772626612,0.900388551204124,7983.04925644336
"g985",797379.445835078,162240.017591718,2.29713670337089,635139.42824336,0.900334692621374,635139.428247514
"g1176",144564.903259776,29324.2822722793,2.30154964149659,115240.620987497,0.898880510887128,115240.62101048
"g258",7221.17344847128,39461.4159711926,-2.45013752360783,32240.2425227213,0.897445564361006,-32240.2426158219
"g84",84634.8811938831,399777.475449753,-2.23987290951162,315142.59425587,0.895956759252135,-315142.59426383
"g689",97489.3523346193,20256.3149768721,2.26687291478212,77233.0373577471,0.895287374009387,77233.0373910147
"g325",4532.9188517352,26752.0992922029,-2.56113986774383,22219.1804404677,0.895225821343387,-22219.1805880752
"g305",37980.6238995578,179016.554973597,-2.23675750061235,141035.931074039,0.895118104177887,-141035.931091776
"g572",57486.5190070689,269450.878174626,-2.22872670996032,211964.359167557,0.894883434638763,-211964.359179274
"g529",56582.7438609274,263357.02861733,-2.21858591944599,206774.284756402,0.89412556743864,-206774.284768304
"g992",62569.1257390323,12679.3959773991,2.30296492596885,49889.7297616332,0.894106332230515,49889.7298147869
"g1263",33339.3723998944,6105.8178379326,2.44897049275736,27233.5545619618,0.894006309148265,27233.5546720734
"g633",17858.8376269736,85383.7087725269,-2.25732264638365,67524.8711455533,0.89383319227514,-67524.8711832839
"g1252",43037.1505496125,8402.73036337506,2.35665246643131,34634.4201862374,0.893329229822267,34634.4202664151
"g1156",47721.5344924325,9483.86504751732,2.33109339486235,38237.6694449151,0.892940678618143,38237.6695159707
"g954",223967.718790758,48844.5479900214,2.19702136363371,175123.170800737,0.892386704624144,175123.170814518
"g376",69723.0928225851,315425.033525384,-2.17758869132334,245701.940702799,0.891205662845272,-245701.940712448
"g170",20187.9895574292,93166.0832562557,-2.20630759754716,72978.0936988265,0.890778641224898,-72978.0937321775
"g995",71183.5774094686,15214.6767588471,2.2260807552906,55968.9006506216,0.890270831730399,55968.9006948911
"g625",47782.7223769104,215077.981887371,-2.17029888226187,167295.259510461,0.8901477263984,-167295.259524539
"g445",7379.6601000699,37698.0892907834,-2.35286512924917,30318.4291907135,0.890082326690775,-30318.4292820107
"g3701",3437.55541157259,20802.8664592614,-2.59732745894796,17365.3110476888,0.889128260367777,-17365.3112419298
"g10807",7291.38905360991,35701.3811379672,-2.29171429924744,28409.9920843573,0.884904208663538,-28409.9921767887
"g564",12540.5070777591,56855.3171625589,-2.18069959265525,44314.8100847998,0.884288682003539,-44314.8101384551
"g8812",1704.23304472187,13047.4206069641,-2.93657008827341,11343.1875622422,0.883830884050165,-11343.1879423578
"g778",1391231.93861533,328999.058480344,2.08020759777733,1062232.88013498,0.883600061552666,1062232.88013702
"g1295",54828.3568125351,12217.6198161833,2.1659589842697,42610.7369963518,0.883169192890667,42610.737051401
"g1066",156234.736833816,36743.6189100416,2.08814962347629,119491.117923775,0.882999923059168,119491.11794202
"g2674",33923.1650026185,7038.34637084128,2.26896235960616,26884.8186317772,0.882399784565669,26884.8187275225
"g461",16771.4988273982,72412.0872762591,-2.11021891230622,55640.5884488609,0.880960990997923,-55640.5884888768
"g646",22209.1959053483,93632.8462010699,-2.07585755255485,71423.6502957216,0.880233900130799,-71423.6503258879
"g289",24205.3252514322,101876.996846015,-2.07343195204734,77671.6715945823,0.879776102177426,-77671.6716222572
"g489",70023.0137645344,288160.292879261,-2.04097049140381,218137.279114727,0.879483727013926,-218137.279124275
"g1136",28926.8231569683,5938.26190902494,2.28429525985756,22988.5612479434,0.879125952142802,22988.5613614347
"g11577",109084.957983227,26194.576885897,2.05811211446163,82890.3810973301,0.879091328768177,82890.3811228808
"g1006",24445.061388977,4891.03735335208,2.32133064055635,19554.0240356249,0.877002385165808,19554.0241734118
"g76",15760.394113402,66083.858889836,-2.06799432161056,50323.464776434,0.876652304377933,-50323.4648189251
"g52",74865.884358953,298591.646810483,-1.99579345449832,223725.76245153,0.875717473263061,-223725.762460431
"g208",24144.1373669543,97567.4184602408,-2.01472653731502,73423.2810932865,0.87410556282219,-73423.2811209284
"g125",118817.843935515,467559.832833218,-1.97639948124132,348741.988897704,0.87398245749019,-348741.988903304
"g6698",20120.7831925108,81623.6739393015,-2.02030118628443,61502.8907467906,0.873924751865815,-61502.890779973
"g561",34455.8005215986,136650.836234671,-1.98767550696818,102195.035713073,0.873486189120566,-102195.035732403
"g10358",12555.5532788603,1862.06499565831,2.75335026810672,10693.488283202,0.872747557128568,10693.4886376671
"g9425",1680.15912296005,11887.4947419664,-2.82277492494033,10207.3356190064,0.872712933753943,-10207.3360093168
"g348",6841.00610064928,30535.0733299811,-2.15818688812053,23694.0672293318,0.871428021851196,-23694.0673276216
"g4876",31548.8744688594,7158.02917720389,2.13995420731412,24390.8452916555,0.870658613526198,24390.845385531
"g1303",7570.24531401761,583.453681017734,3.69765001803567,6986.79163299988,0.870347003154574,6986.79261146148
"g497",13376.0727789088,54333.9993751865,-2.02220064147953,40957.9265962777,0.870077710240825,-40957.9266461984
"g685",50354.6196851311,12363.2338972578,2.02606797777571,37991.3857878732,0.869962298992075,37991.385841898
"g802",41916.7101076147,10056.3478046185,2.05941903717601,31860.3623029962,0.869562206663076,31860.3623695555
"g1164",55084.1422312544,13716.646965875,2.00570919386918,41367.4952653794,0.869281372624452,41367.4953140029
"g938",177669.554922493,46311.2619220128,1.9397615111235,131358.29300048,0.869154420250827,131358.293014803
"g1253",57975.0190028191,14513.5349849061,1.99803243595157,43461.484017913,0.868888974378703,43461.4840638403
"g9306",4587.08517569929,5.98414031813061,9.58221797672224,4581.10103538116,0.868604293298453,4581.11105685855
"g16",35150.9350124711,134600.270818992,-1.93704634217795,99449.335806521,0.868546587674079,-99449.3358253856
"g12476",17464.6271581238,3349.12386471376,2.38258020474214,14115.5032934101,0.868096483803955,14115.50349449
"g1478",58115.4502130964,14657.1543525412,1.98731672531633,43458.2958605551,0.86792336693083,43458.2959059944
"g62",761.33777571742,8071.6079324385,-3.40624753107546,7310.27015672108,0.867196276063707,-7310.27095029788
"g697",141217.625054811,37412.8452689526,1.91631456639372,103804.779785858,0.866819265984458,103804.779803546
"g438",11050.9331687468,44433.2392188394,-2.00747111923064,33382.3060500927,0.866107563283835,-33382.3061104531
"g297",11044.9146883063,44407.3079441275,-2.00741483976662,33362.3932558212,0.866099869200585,-33362.3933162143
"g1177",26693.9669135599,6046.97379147098,2.14222848491768,20646.9931220889,0.86601138724321,20646.9932332224
"g603",58273.936864695,217385.865336731,-1.8993354532932,159111.928472036,0.865565130414711,-159111.928483372
"g881",31299.1075305806,7394.40271977005,2.08161599646242,23904.7048108105,0.865265061167962,23904.7049014438
"g464",414103.552865578,1521072.72262371,-1.87702564439191,1106969.16975813,0.864257136262214,-1106969.16975972
"g779",154426.18346146,41611.7170588409,1.89185566113312,112814.466402619,0.86385319689159,112814.466418482
"g601",52671.7346547058,193392.454731186,-1.87643063058803,140720.72007648,0.863145341232592,-140720.720088991
"g848",15701.2123890708,3018.99879049689,2.3787338789727,12682.213598574,0.863103023774717,12682.213821657
"g1172",71089.2878825682,18760.2798973394,1.92195083059014,52329.0079852287,0.863045318150342,52329.0080205236
"g929",11037.8931277925,1675.55928907657,2.71975018028652,9362.3338387159,0.862910671693468,9362.33423375847
"g8846",14870.6620882882,57129.5902604732,-1.94176930068971,42258.928172185,0.862776025236593,-42258.9282167965
"g878",22394.765718929,4978.80474468466,2.16929023062111,17415.9609742443,0.862737554820343,17415.9611093451
"g1170",36809.0263738161,9129.80341202793,2.01140388911773,27679.2229617882,0.862541355697469,27679.2230348709
"g449",51067.8096173248,187060.236917884,-1.87301683397569,135992.427300559,0.86197199353697,-135992.427313458
