"","x"
"1","g1"
"2","g2"
"3","g3"
"4","g4"
"5","g5"
"6","g9"
"7","g10"
"8","g20"
"9","g21"
"10","g22"
"11","g24"
"12","g28"
"13","g29"
"14","g33"
"15","g34"
"16","g38"
"17","g39"
"18","g40"
"19","g45"
"20","g46"
"21","g47"
"22","g48"
"23","g49"
"24","g51"
"25","g52"
"26","g53"
"27","g54"
"28","g56"
"29","g59"
"30","g62"
"31","g64"
"32","g69"
"33","g70"
"34","g72"
"35","g73"
"36","g75"
"37","g76"
"38","g77"
"39","g81"
"40","g82"
"41","g83"
"42","g84"
"43","g85"
"44","g86"
"45","g87"
"46","g88"
"47","g89"
"48","g90"
"49","g91"
"50","g95"
"51","g97"
"52","g98"
"53","g100"
"54","g101"
"55","g102"
"56","g103"
"57","g105"
"58","g108"
"59","g114"
"60","g116"
"61","g122"
"62","g127"
"63","g130"
"64","g135"
"65","g136"
"66","g137"
"67","g139"
"68","g140"
"69","g143"
"70","g147"
"71","g148"
"72","g149"
"73","g150"
"74","g151"
"75","g153"
"76","g159"
"77","g162"
"78","g165"
"79","g172"
"80","g174"
"81","g176"
"82","g177"
"83","g178"
"84","g179"
"85","g181"
"86","g183"
"87","g186"
"88","g190"
"89","g192"
"90","g193"
"91","g200"
"92","g204"
"93","g207"
"94","g208"
"95","g210"
"96","g214"
"97","g217"
"98","g221"
"99","g222"
"100","g224"
"101","g225"
"102","g227"
"103","g228"
"104","g229"
"105","g231"
"106","g234"
"107","g235"
"108","g238"
"109","g241"
"110","g242"
"111","g246"
"112","g250"
"113","g253"
"114","g255"
"115","g257"
"116","g258"
"117","g259"
"118","g260"
"119","g264"
"120","g265"
"121","g266"
"122","g267"
"123","g270"
"124","g273"
"125","g276"
"126","g278"
"127","g281"
"128","g282"
"129","g283"
"130","g288"
"131","g292"
"132","g293"
"133","g295"
"134","g296"
"135","g297"
"136","g299"
"137","g300"
"138","g303"
"139","g304"
"140","g305"
"141","g306"
"142","g308"
"143","g312"
"144","g315"
"145","g317"
"146","g319"
"147","g321"
"148","g324"
"149","g328"
"150","g332"
"151","g334"
"152","g335"
"153","g337"
"154","g339"
"155","g342"
"156","g343"
"157","g344"
"158","g345"
"159","g348"
"160","g349"
"161","g351"
"162","g353"
"163","g354"
"164","g355"
"165","g356"
"166","g357"
"167","g358"
"168","g362"
"169","g363"
"170","g366"
"171","g367"
"172","g369"
"173","g375"
"174","g377"
"175","g378"
"176","g379"
"177","g380"
"178","g381"
"179","g383"
"180","g386"
"181","g389"
"182","g390"
"183","g393"
"184","g394"
"185","g395"
"186","g396"
"187","g398"
"188","g403"
"189","g404"
"190","g405"
"191","g409"
"192","g410"
"193","g411"
"194","g417"
"195","g418"
"196","g419"
"197","g420"
"198","g421"
"199","g425"
"200","g433"
"201","g438"
"202","g446"
"203","g448"
"204","g452"
"205","g453"
"206","g454"
"207","g455"
"208","g458"
"209","g459"
"210","g463"
"211","g465"
"212","g466"
"213","g469"
"214","g470"
"215","g474"
"216","g477"
"217","g479"
"218","g484"
"219","g486"
"220","g489"
"221","g490"
"222","g491"
"223","g492"
"224","g493"
"225","g496"
"226","g497"
"227","g498"
"228","g503"
"229","g504"
"230","g512"
"231","g516"
"232","g518"
"233","g520"
"234","g521"
"235","g522"
"236","g528"
"237","g530"
"238","g531"
"239","g532"
"240","g534"
"241","g535"
"242","g536"
"243","g538"
"244","g540"
"245","g541"
"246","g542"
"247","g543"
"248","g544"
"249","g545"
"250","g546"
"251","g547"
"252","g549"
"253","g551"
"254","g552"
"255","g553"
"256","g556"
"257","g558"
"258","g559"
"259","g562"
"260","g565"
"261","g567"
"262","g569"
"263","g570"
"264","g571"
"265","g574"
"266","g575"
"267","g576"
"268","g580"
"269","g581"
"270","g583"
"271","g584"
"272","g586"
"273","g587"
"274","g588"
"275","g589"
"276","g590"
"277","g591"
"278","g600"
