"","x"
"1","g5"
"2","g6"
"3","g8"
"4","g14"
"5","g15"
"6","g16"
"7","g17"
"8","g18"
"9","g20"
"10","g21"
"11","g23"
"12","g28"
"13","g33"
"14","g36"
"15","g39"
"16","g40"
"17","g42"
"18","g44"
"19","g45"
"20","g47"
"21","g52"
"22","g54"
"23","g55"
"24","g56"
"25","g57"
"26","g58"
"27","g61"
"28","g62"
"29","g63"
"30","g65"
"31","g66"
"32","g67"
"33","g69"
"34","g70"
"35","g73"
"36","g74"
"37","g76"
"38","g77"
"39","g78"
"40","g79"
"41","g80"
"42","g83"
"43","g84"
"44","g85"
"45","g89"
"46","g92"
"47","g93"
"48","g97"
"49","g100"
"50","g101"
"51","g102"
"52","g103"
"53","g105"
"54","g106"
"55","g109"
"56","g112"
"57","g117"
"58","g125"
"59","g127"
"60","g129"
"61","g136"
"62","g141"
"63","g143"
"64","g145"
"65","g146"
"66","g147"
"67","g148"
"68","g150"
"69","g151"
"70","g157"
"71","g158"
"72","g160"
"73","g165"
"74","g166"
"75","g168"
"76","g169"
"77","g170"
"78","g172"
"79","g174"
"80","g175"
"81","g177"
"82","g180"
"83","g181"
"84","g186"
"85","g187"
"86","g188"
"87","g190"
"88","g194"
"89","g195"
"90","g196"
"91","g197"
"92","g198"
"93","g199"
"94","g205"
"95","g206"
"96","g207"
"97","g208"
"98","g210"
"99","g211"
"100","g212"
"101","g215"
"102","g217"
"103","g219"
"104","g220"
"105","g222"
"106","g225"
"107","g226"
"108","g231"
"109","g232"
"110","g234"
"111","g237"
"112","g240"
"113","g241"
"114","g243"
"115","g245"
"116","g246"
"117","g250"
"118","g251"
"119","g252"
"120","g255"
"121","g256"
"122","g257"
"123","g258"
"124","g260"
"125","g263"
"126","g266"
"127","g270"
"128","g271"
"129","g273"
"130","g275"
"131","g277"
"132","g278"
"133","g280"
"134","g281"
"135","g282"
"136","g284"
"137","g288"
"138","g289"
"139","g290"
"140","g292"
"141","g296"
"142","g297"
"143","g299"
"144","g302"
"145","g305"
"146","g308"
"147","g309"
"148","g310"
"149","g312"
"150","g313"
"151","g317"
"152","g318"
"153","g319"
"154","g324"
"155","g325"
"156","g328"
"157","g329"
"158","g330"
