"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1",114952.281203975,2.161849763367,0.340268395696385,6.35336631526595,2.10653264256812e-10,2.17495282279873e-08
"g2",142.075021545318,2.03070510150386,0.449039829291305,4.52232735058003,6.11633706287782e-06,0.000247952712141894
"g3",63155.3846595381,3.49472382084435,0.470245546332423,7.43169998759305,1.07210751047493e-13,1.75147082660627e-11
"g4",17234.3615802676,1.71694696252564,0.490639492821318,3.49940636179266,0.000466295350723435,0.0111858880974659
"g5",126443.965372979,1.73755089178759,0.252667432688458,6.87682964638347,6.11992198617887e-12,7.82016961917074e-10
"g9",272.614489401673,1.85886662762775,0.532122179381542,3.4933079274918,0.000477076042598499,0.0114232475935783
"g10",1048.30588026167,0.614503248090047,0.177079002428844,3.4702208599632,0.000520030563227586,0.0121806069855086
"g20",1167.74335018495,1.35584699152843,0.434040753447267,3.12377808019162,0.00178545062981212,0.0334927700993535
"g21",28898.1835359521,1.74721227382175,0.30706647706834,5.6900130893575,1.27029634052438e-08,9.70085477562584e-07
"g22",543.701732414221,1.60093661396736,0.389450288065704,4.11075986596079,3.94359168957974e-05,0.00129506346935665
"g24",33832.9034756157,1.1173408395316,0.227729868749984,4.90643078865639,9.27486961874969e-07,4.63959175579781e-05
"g28",17182.1560300476,2.11056305456632,0.303961084169939,6.94353048624589,3.82420033686503e-12,5.08815768531753e-10
"g29",206.812413318479,1.35732342718093,0.358966197372697,3.78120123040912,0.000156073450779554,0.00426755075373078
"g33",8163.14313010703,1.44740690596854,0.237100238337074,6.10462020671119,1.03045413702474e-09,9.57660795133836e-08
"g34",916403.88938868,3.11759393924482,0.216200884264128,14.41989448774,3.87935129068887e-47,1.25167269394076e-43
"g38",30303.3828364693,1.55401185369975,0.194490569208693,7.99016559014878,1.34757625685537e-15,2.67566448784237e-13
"g39",10434.8859307871,0.971667967908148,0.210594213207988,4.61393479482033,3.95116428249277e-06,0.000168853398112091
"g40",35885.5690431217,1.12078353532875,0.259689874277273,4.31585381774294,1.5898717080083e-05,0.000573153191719416
