"","x"
"1","g10380"
"2","g4890"
"3","g183"
"4","g3462"
"5","g3"
"6","g34"
"7","g868"
"8","g162"
"9","g3661"
"10","g1274"
"11","g76"
"12","g1012"
"13","g11509"
"14","g1041"
"15","g1257"
"16","g748"
"17","g421"
"18","g889"
"19","g1084"
"20","g383"
"21","g1069"
"22","g151"
"23","g556"
"24","g51"
"25","g759"
"26","g459"
"27","g83"
"28","g1175"
"29","g356"
"30","g344"
"31","g5885"
"32","g1220"
"33","g234"
"34","g90"
"35","g12375"
"36","g300"
"37","g448"
"38","g1166"
"39","g176"
"40","g225"
"41","g945"
"42","g1023"
"43","g1158"
"44","g228"
"45","g708"
"46","g804"
"47","g901"
"48","g7193"
"49","g1123"
"50","g11340"
"51","g878"
"52","g135"
"53","g863"
"54","g542"
"55","g463"
"56","g1078"
"57","g28"
"58","g711"
"59","g1"
"60","g1086"
"61","g335"
"62","g321"
"63","g5382"
"64","g3588"
"65","g3384"
"66","g6009"
"67","g165"
"68","g1053"
"69","g12867"
"70","g825"
"71","g227"
"72","g816"
"73","g252"
"74","g11548"
"75","g998"
"76","g283"
"77","g1156"
"78","g933"
"79","g525"
"80","g4602"
"81","g2245"
"82","g1213"
"83","g253"
"84","g1263"
"85","g930"
"86","g545"
"87","g88"
"88","g702"
"89","g465"
"90","g9301"
"91","g484"
"92","g650"
"93","g1076"
"94","g221"
"95","g1089"
"96","g706"
"97","g1111"
"98","g409"
"99","g1139"
"100","g1073"
"101","g610"
"102","g369"
"103","g1074"
"104","g2207"
"105","g1017"
"106","g1543"
"107","g900"
"108","g229"
"109","g203"
"110","g288"
"111","g1056"
"112","g395"
"113","g296"
"114","g21"
"115","g11371"
"116","g493"
"117","g355"
"118","g551"
"119","g210"
"120","g12875"
"121","g1188"
"122","g669"
"123","g4237"
"124","g646"
"125","g4500"
"126","g507"
"127","g586"
"128","g7008"
"129","g403"
"130","g957"
"131","g723"
"132","g454"
"133","g87"
"134","g1256"
"135","g1027"
"136","g1040"
"137","g7897"
"138","g108"
"139","g690"
"140","g5"
"141","g538"
"142","g250"
"143","g1149"
"144","g777"
"145","g124"
"146","g958"
"147","g3394"
"148","g626"
"149","g602"
"150","g764"
"151","g260"
"152","g103"
"153","g6393"
"154","g712"
"155","g950"
"156","g455"
"157","g1163"
"158","g1171"
"159","g789"
"160","g991"
"161","g1141"
"162","g417"
"163","g4"
"164","g1192"
"165","g44"
"166","g492"
"167","g1128"
"168","g3192"
"169","g186"
"170","g589"
"171","g647"
"172","g1007"
"173","g150"
"174","g1224"
"175","g755"
"176","g1235"
"177","g9663"
"178","g389"
"179","g5960"
"180","g1283"
"181","g12141"
"182","g317"
"183","g1204"
"184","g558"
"185","g842"
"186","g5609"
"187","g8031"
"188","g844"
"189","g53"
"190","g615"
"191","g810"
"192","g1349"
"193","g801"
"194","g81"
"195","g9299"
"196","g38"
"197","g653"
"198","g190"
"199","g668"
"200","g2705"
"201","g576"
"202","g1092"
"203","g1217"
"204","g666"
"205","g5903"
"206","g10471"
"207","g1018"
"208","g308"
"209","g259"
"210","g591"
"211","g258"
"212","g11390"
"213","g856"
"214","g11885"
"215","g947"
"216","g52"
"217","g2069"
"218","g6708"
"219","g537"
"220","g1099"
"221","g1270"
"222","g588"
"223","g200"
"224","g306"
"225","g536"
"226","g1447"
"227","g1038"
"228","g756"
"229","g366"
"230","g469"
"231","g3411"
"232","g546"
"233","g33"
"234","g477"
"235","g896"
"236","g1335"
"237","g1216"
"238","g8136"
"239","g4792"
"240","g980"
"241","g549"
"242","g632"
"243","g420"
"244","g7902"
"245","g862"
"246","g642"
"247","g1191"
"248","g876"
"249","g613"
"250","g1262"
"251","g670"
