"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g10881	1340	1317	0.0249776550886214	0.0249776550886214	0.655448920484995	0.674458762040579	0.0551687108013064	FALSE
g9045	127	120	0.0817940911636468	0.0817940911636468	0.656009647957865	0.674982118310372	0.0552115197798819	FALSE
g2613	738	721	0.0336215568195737	0.0336215568195737	0.6562707473226	0.675197122255317	0.0552291064599391	FALSE
g1583	9134	9074	0.00950813002761031	0.00950813002761031	0.656571061930277	0.675452435017246	0.055249990280744	FALSE
g6004	1130	1109	0.0270634071408402	0.0270634071408402	0.657181178424496	0.676026392930115	0.0552969383224767	FALSE
g5938	167	159	0.0708213371896962	0.0708213371896962	0.657692493370899	0.676498632974833	0.0553355661466256	FALSE
g7500	39	43	-0.140862535839849	-0.140862535839849	0.658623972589252	0.67740294218337	0.0554095359369354	FALSE
g6552	753	736	0.0329440986149159	0.0329440986149159	0.659530665166255	0.678281616415423	0.0554814088627908	FALSE
g8409	169	161	0.0699625581675676	0.0699625581675676	0.659642299231016	0.678342553405992	0.0554863933264809	FALSE
g2679	945	926	0.0293021358481997	0.0293021358481997	0.660474046501201	0.679143949673698	0.0555519451458339	FALSE
g612	124	131	-0.0792266911505752	-0.0792266911505752	0.661107552719726	0.679741390053231	0.0556008139831513	FALSE
g2088	25	22	0.184424571137427	0.184424571137427	0.661572040732757	0.680164967250652	0.0556354613318429	FALSE
g8201	436	449	-0.0423873099642194	-0.0423873099642194	0.662112742088554	0.680666826232181	0.055676511896493	FALSE
g11692	5339	5294	0.0122113541691125	0.0122113541691125	0.662546164924731	0.681058329558284	0.0557085356983786	FALSE
g9033	666	682	-0.0342495619529117	-0.0342495619529117	0.662987006459706	0.681457396115024	0.055741178149924	FALSE
g8140	955	974	-0.0284210391592303	-0.0284210391592303	0.665302144555435	0.683782759681974	0.0559313859392702	FALSE
g6777	45	41	0.134301091711591	0.134301091711591	0.666171070640217	0.68462148756375	0.0559999913730712	FALSE
g12829	16009	15932	0.00695580810509178	0.00695580810509178	0.666584233841131	0.684991733712319	0.0560302764013714	FALSE
g8251	3685	3722	-0.014413436076719	-0.014413436076719	0.667258296989779	0.685630004444786	0.0560824850395183	FALSE
g6563	23	26	-0.176877762084079	-0.176877762084079	0.668137571012073	0.686479018137603	0.0561519318219186	FALSE
g8160	66	71	-0.105353000146229	-0.105353000146229	0.669214530603995	0.687530993361503	0.0562379802509165	FALSE
g3978	12	10	0.263034405833794	0.263034405833794	0.669600785514453	0.687873248644469	0.0562659757100741	FALSE
g4041	5928	5882	0.0112386634187693	0.0112386634187693	0.672086943541032	0.690372485036596	0.05647040577682	FALSE
g8347	47	43	0.12832409697554	0.12832409697554	0.673239277109264	0.691501319683135	0.0565627410768597	FALSE
g1129	24	27	-0.169925001442312	-0.169925001442312	0.674335478077289	0.692572324617407	0.056650346079287	FALSE
g12015	74	69	0.100928908850781	0.100928908850781	0.675827491365552	0.694049644185876	0.0567711864043312	FALSE
g5220	1923	1949	-0.0193753279179916	-0.0193753279179916	0.676066007723502	0.694239536913754	0.056786719061889	FALSE
g884	44	48	-0.125530882083859	-0.125530882083859	0.676609238567812	0.694742280324545	0.0568278419702092	FALSE
g10715	3542	3577	-0.014185906243311	-0.014185906243311	0.678273862336919	0.696396298839539	0.0569631357409323	FALSE
g12787	108	102	0.0824621601919731	0.0824621601919731	0.678824666364909	0.696906566467859	0.0570048741077568	FALSE
g6126	488	501	-0.0379294556323213	-0.0379294556323213	0.679326831561415	0.697366822728524	0.0570425216941894	FALSE
g9612	353	364	-0.0442702669275157	-0.0442702669275157	0.68121143025299	0.699246038504773	0.0571962359277765	FALSE
g12192	143	150	-0.0689473537174914	-0.0689473537174914	0.682566211398832	0.700581155394695	0.0573054444987545	FALSE
g615	11	13	-0.241008099503795	-0.241008099503795	0.682917541491183	0.700886207189002	0.0573303968237396	FALSE
g3068	188	196	-0.0601209924375707	-0.0601209924375707	0.68308055714962	0.700997956659607	0.0573395375964198	FALSE
g8894	144	151	-0.0684797378827664	-0.0684797378827664	0.683585806843373	0.701460871523112	0.0573774026486183	FALSE
g7867	26	29	-0.15754127698648	-0.15754127698648	0.685756620692688	0.703632694554339	0.0575550512810697	FALSE
g1338	47	51	-0.117836490293858	-0.117836490293858	0.686126575958654	0.703956517086402	0.0575815389962982	FALSE
g9511	114	108	0.0780025120012731	0.0780025120012731	0.687155578638184	0.704956408410401	0.0576633271179612	FALSE
g1144	115	109	0.0773057261674488	0.0773057261674488	0.688482088709162	0.706261331494268	0.0577700659258522	FALSE
g7284	30	27	0.15200309344505	0.15200309344505	0.69103452634991	0.708823533958917	0.057979646429127	FALSE
g7261	3249	3281	-0.014139850188938	-0.014139850188938	0.692105653210044	0.709866007371302	0.0580649176383436	FALSE
g20	14	12	0.222392421336448	0.222392421336448	0.694743411831767	0.712486809203832	0.0582769838523383	FALSE
g6476	12	14	-0.222392421336448	-0.222392421336448	0.694743411831767	0.712486809203832	0.0582769838523383	FALSE
g12001	28	31	-0.146841388329271	-0.146841388329271	0.69605525168117	0.713747367904913	0.0583824013287423	FALSE
g1974	637	651	-0.0313641709093346	-0.0313641709093346	0.696463645653959	0.714109597087789	0.0584120305932112	FALSE
g4459	1581	1603	-0.0199370577961773	-0.0199370577961773	0.696620688513333	0.714214069847808	0.0584205761527154	FALSE
g1948	567	554	0.0334627588930392	0.0334627588930392	0.697808576581642	0.715375321938906	0.0585155631028254	FALSE
g1817	52	56	-0.106915203916512	-0.106915203916512	0.700278757790546	0.717850859921441	0.0587180547105004	FALSE
g4997	119	125	-0.0709665213541433	-0.0709665213541433	0.700882097822748	0.718412471648297	0.0587639928711195	FALSE
g7155	873	889	-0.0262017652003284	-0.0262017652003284	0.703076259924298	0.720604476930721	0.0589432923513948	FALSE
g7021	1679	1657	0.0190286277155778	0.0190286277155778	0.703277282512215	0.720753466962107	0.0589554792906361	FALSE
g7097	3	4	-0.415037499278844	-0.415037499278844	0.7049759945629	0.722437218452921	0.0590932051299105	FALSE
g7407	33	30	0.137503523749935	0.137503523749935	0.70540388575217	0.72270413927932	0.0591150384556929	FALSE
