"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g5	19922	38855	-0.96373777268861	-0.96373777268861	0	0	0	TRUE
g8	7286	13752	-0.916442549735279	-0.916442549735279	0	0	0	TRUE
g9	2132	990	1.1067070077922	1.1067070077922	0	0	0	TRUE
g10	3695	6823	-0.884831851927414	-0.884831851927414	0	0	0	TRUE
g11	936	1763	-0.913452039736777	-0.913452039736777	0	0	0	TRUE
g12	5011	7119	-0.506576063485527	-0.506576063485527	0	0	0	TRUE
g14	661	1017	-0.621597502349807	-0.621597502349807	0	0	0	TRUE
g16	333	795	-1.25543268310046	-1.25543268310046	0	0	0	TRUE
g17	1538	3226	-1.06869093519382	-1.06869093519382	0	0	0	TRUE
g18	7983	11593	-0.538251034539607	-0.538251034539607	0	0	0	TRUE
g20	842	1557	-0.886876806012642	-0.886876806012642	0	0	0	TRUE
g23	1395	1981	-0.505963758172935	-0.505963758172935	0	0	0	TRUE
g24	1509	2865	-0.924942333117585	-0.924942333117585	0	0	0	TRUE
g25	83	2474	-4.89759035362945	-4.89759035362945	0	0	0	TRUE
g28	5079	10539	-1.05312160332673	-1.05312160332673	0	0	0	TRUE
g31	1452	3259	-1.16638789874281	-1.16638789874281	0	0	0	TRUE
g32	5781	9652	-0.739508843198873	-0.739508843198873	0	0	0	TRUE
g33	1000	1548	-0.630405471482323	-0.630405471482323	0	0	0	TRUE
g35	1948	2596	-0.414296705916797	-0.414296705916797	0	0	0	TRUE
g37	7562	13389	-0.824208457985776	-0.824208457985776	0	0	0	TRUE
g39	6392	8833	-0.466636103226636	-0.466636103226636	0	0	0	TRUE
g40	379	10	5.24412594328373	5.24412594328373	0	0	0	TRUE
g42	763	3394	-2.15323160270813	-2.15323160270813	0	0	0	TRUE
g46	717	1308	-0.867317516796179	-0.867317516796179	0	0	0	TRUE
g47	1569	4207	-1.42294646580069	-1.42294646580069	0	0	0	TRUE
g49	594	1665	-1.48698734115786	-1.48698734115786	0	0	0	TRUE
g50	8406	10676	-0.344879848989994	-0.344879848989994	0	0	0	TRUE
g51	564	1212	-1.10362263107416	-1.10362263107416	0	0	0	TRUE
g55	1984	3361	-0.760478516921127	-0.760478516921127	0	0	0	TRUE
g56	8682	20475	-1.23776412416285	-1.23776412416285	0	0	0	TRUE
g58	280	3	6.54432051622381	6.54432051622381	0	0	0	TRUE
g59	22082	36923	-0.741648931865623	-0.741648931865623	0	0	0	TRUE
g61	4711	3437	0.454883480295623	0.454883480295623	0	0	0	TRUE
g62	3257	4584	-0.493063324361001	-0.493063324361001	0	0	0	TRUE
g63	1438	426	1.75513834021346	1.75513834021346	0	0	0	TRUE
g65	3523	2384	0.563420239032801	0.563420239032801	0	0	0	TRUE
g70	1291	855	0.59449267553393	0.59449267553393	0	0	0	TRUE
g71	8671	6311	0.458329761272752	0.458329761272752	0	0	0	TRUE
g72	2546	5147	-1.01549936330518	-1.01549936330518	0	0	0	TRUE
g73	1050	41	4.6786216079354	4.6786216079354	0	0	0	TRUE
g74	3380	8761	-1.37407230513423	-1.37407230513423	0	0	0	TRUE
g76	1	68	-6.08746284125034	-6.08746284125034	0	0	0	TRUE
g77	3342	5451	-0.705809186894085	-0.705809186894085	0	0	0	TRUE
g78	31668	19206	0.721468673780688	0.721468673780688	0	0	0	TRUE
g79	188	473	-1.33110752166176	-1.33110752166176	0	0	0	TRUE
g80	296	806	-1.44518266289902	-1.44518266289902	0	0	0	TRUE
g81	3937	421	3.22520457409265	3.22520457409265	0	0	0	TRUE
g82	4027	6200	-0.622562743215846	-0.622562743215846	0	0	0	TRUE
g84	2831	3721	-0.394378641220026	-0.394378641220026	0	0	0	TRUE
g87	46	166	-1.85147747528991	-1.85147747528991	0	0	0	TRUE
g88	13108	20613	-0.6531069108797	-0.6531069108797	0	0	0	TRUE
g91	75	562	-2.90560762972505	-2.90560762972505	0	0	0	TRUE
g92	2919	11133	-1.93129629091641	-1.93129629091641	0	0	0	TRUE
g94	12435	17593	-0.50059500800571	-0.50059500800571	0	0	0	TRUE
g96	1673	1172	0.513464875616105	0.513464875616105	0	0	0	TRUE
g97	2470	6199	-1.32752446217347	-1.32752446217347	0	0	0	TRUE
g98	816	2414	-1.56478461878353	-1.56478461878353	0	0	0	TRUE
g99	1592	2981	-0.904956039447519	-0.904956039447519	0	0	0	TRUE
g102	4610	5704	-0.307207231127189	-0.307207231127189	0	0	0	TRUE
g103	2844	3953	-0.475026490200198	-0.475026490200198	0	0	0	TRUE
g105	1685	2791	-0.728033532996847	-0.728033532996847	0	0	0	TRUE
g106	9179	18369	-1.00086419505673	-1.00086419505673	0	0	0	TRUE
g108	879	1486	-0.757499045395191	-0.757499045395191	0	0	0	TRUE
g111	3777	7408	-0.971843314820063	-0.971843314820063	0	0	0	TRUE
g113	431	181	1.25169817200589	1.25169817200589	0	0	0	TRUE
g115	763	2127	-1.47906507112614	-1.47906507112614	0	0	0	TRUE
g116	1131	1676	-0.567423219709532	-0.567423219709532	0	0	0	TRUE
g117	1497	3061	-1.03192882346858	-1.03192882346858	0	0	0	TRUE
g120	8632	21423	-1.31139375413017	-1.31139375413017	0	0	0	TRUE
g122	862	1730	-1.00501226343499	-1.00501226343499	0	0	0	TRUE
g123	9546	21938	-1.20046376547798	-1.20046376547798	0	0	0	TRUE
g126	3407	16573	-2.28226092643793	-2.28226092643793	0	0	0	TRUE
g127	89	9	3.30580842952409	3.30580842952409	0	0	0	TRUE
g131	2179	1429	0.608660280020091	0.608660280020091	0	0	0	TRUE
g132	151	8	4.23840473932508	4.23840473932508	0	0	0	TRUE
g135	2669	5501	-1.04339459750336	-1.04339459750336	0	0	0	TRUE
g136	5897	9409	-0.67406020555234	-0.67406020555234	0	0	0	TRUE
g139	240	560	-1.22239242133645	-1.22239242133645	0	0	0	TRUE
g140	6017	1100	2.45154083301783	2.45154083301783	0	0	0	TRUE
g143	82895	40371	1.03796576173434	1.03796576173434	0	0	0	TRUE
g144	21382	12555	0.768134775577744	0.768134775577744	0	0	0	TRUE
g145	31880	37638	-0.239538339154057	-0.239538339154057	0	0	0	TRUE
g146	44	172	-1.9668331360648	-1.9668331360648	0	0	0	TRUE
g147	6274	4586	0.452149174262809	0.452149174262809	0	0	0	TRUE
g151	1069	3218	-1.58990247300296	-1.58990247300296	0	0	0	TRUE
g152	146	346	-1.24480366875671	-1.24480366875671	0	0	0	TRUE
g155	34179	22016	0.634557812494942	0.634557812494942	0	0	0	TRUE
g159	67	251	-1.905454363493	-1.905454363493	0	0	0	TRUE
g161	9684	12864	-0.409664327179991	-0.409664327179991	0	0	0	TRUE
g162	79853	65638	0.282815328931846	0.282815328931846	0	0	0	TRUE
g164	205	0	NA	NA	0	0	0	TRUE
g165	7746	6055	0.355324541446656	0.355324541446656	0	0	0	TRUE
g167	861	1764	-1.03476541816068	-1.03476541816068	0	0	0	TRUE
g172	4542	6452	-0.506418732448754	-0.506418732448754	0	0	0	TRUE
g173	130	0	NA	NA	0	0	0	TRUE
g174	32861	49134	-0.580345309792266	-0.580345309792266	0	0	0	TRUE
g175	74	15126	-7.67528953795075	-7.67528953795075	0	0	0	TRUE
g177	5180	7242	-0.483436078902262	-0.483436078902262	0	0	0	TRUE
g178	375	797	-1.08768912860723	-1.08768912860723	0	0	0	TRUE
g179	85	932	-3.45479520851658	-3.45479520851658	0	0	0	TRUE
g180	11165	8026	0.476230189929842	0.476230189929842	0	0	0	TRUE
g187	60	253	-2.07610297908579	-2.07610297908579	0	0	0	TRUE
g188	47	190	-2.01526675665331	-2.01526675665331	0	0	0	TRUE
g189	517	901	-0.801362825498604	-0.801362825498604	0	0	0	TRUE
g190	11	135	-3.61738397841353	-3.61738397841353	0	0	0	TRUE
g191	1638	3633	-1.14922600877448	-1.14922600877448	0	0	0	TRUE
g192	3069	7004	-1.19041043796707	-1.19041043796707	0	0	0	TRUE
g193	7534	10335	-0.456050450365417	-0.456050450365417	0	0	0	TRUE
g195	1136	1829	-0.687092240244034	-0.687092240244034	0	0	0	TRUE
g198	299	16	4.2240016741981	4.2240016741981	0	0	0	TRUE
g199	25836	17763	0.540507465744609	0.540507465744609	0	0	0	TRUE
g200	13347	17764	-0.41244097207017	-0.41244097207017	0	0	0	TRUE
g201	1822	3229	-0.825564481811929	-0.825564481811929	0	0	0	TRUE
g203	3239	5719	-0.820214437408101	-0.820214437408101	0	0	0	TRUE
g205	632	98	2.68907090406189	2.68907090406189	0	0	0	TRUE
g209	10988	15529	-0.499036113909591	-0.499036113909591	0	0	0	TRUE
g210	20968	17015	0.301382107476046	0.301382107476046	0	0	0	TRUE
g211	1489	3480	-1.22474355215399	-1.22474355215399	0	0	0	TRUE
g212	8204	15782	-0.943880647916922	-0.943880647916922	0	0	0	TRUE
g219	898	438	1.03578457513997	1.03578457513997	0	0	0	TRUE
g220	17818	26112	-0.551377553284574	-0.551377553284574	0	0	0	TRUE
g223	356	660	-0.890588783279417	-0.890588783279417	0	0	0	TRUE
g225	10479	18397	-0.811969476520389	-0.811969476520389	0	0	0	TRUE
g230	251	16	3.97154355395077	3.97154355395077	0	0	0	TRUE
g232	168	692	-2.04231080485796	-2.04231080485796	0	0	0	TRUE
g233	24564	30041	-0.290387329658017	-0.290387329658017	0	0	0	TRUE
g234	3756	8999	-1.26056763009545	-1.26056763009545	0	0	0	TRUE
g236	32	141	-2.13955135239879	-2.13955135239879	0	0	0	TRUE
g237	321	957	-1.57594562736372	-1.57594562736372	0	0	0	TRUE
g239	29	341	-3.5556469338966	-3.5556469338966	0	0	0	TRUE
g241	48893	70025	-0.518242148667834	-0.518242148667834	0	0	0	TRUE
g242	5179	7213	-0.477925865343877	-0.477925865343877	0	0	0	TRUE
g243	6245	3142	0.991018391201123	0.991018391201123	0	0	0	TRUE
g244	3548	8301	-1.22627913503005	-1.22627913503005	0	0	0	TRUE
g245	5150	3115	0.72534026904658	0.72534026904658	0	0	0	TRUE
g246	214	1131	-2.40191622758867	-2.40191622758867	0	0	0	TRUE
g248	11647	22799	-0.969012149319141	-0.969012149319141	0	0	0	TRUE
g250	26835	37620	-0.487383960750131	-0.487383960750131	0	0	0	TRUE
g251	33324	35579	-0.0944643791233659	-0.0944643791233659	0	0	0	TRUE
g256	178	579	-1.70168610702284	-1.70168610702284	0	0	0	TRUE
g257	2346	3363	-0.519545765498075	-0.519545765498075	0	0	0	TRUE
g258	114	472	-2.0497530351971	-2.0497530351971	0	0	0	TRUE
g260	6614	14055	-1.08748850307659	-1.08748850307659	0	0	0	TRUE
